,Layer,Infection_of_bone nodes,Prostatitis nodes,sAB
0,coex_KDN,30,35,-0.16428571428571415
1,coex_BST,19,19,1.0467836257309941
2,coex_OVR,18,15,0.03224206349206371
3,coex_LNG,20,30,0.19217991787980582
4,coex_ITI,20,28,-0.11574770258980793
5,coex_VGN,16,18,0.13786764705882382
6,coex_HRV,17,21,0.035014005602240994
7,coex_MSG,24,30,0.08287037037037037
8,coex_ADV,34,24,0.1532395566922422
9,coex_EMS,27,16,0.4537037037037037
10,coex_SMU,12,16,-0.0707070707070705
11,coex_ARG,11,21,0.5514069264069263
12,coex_TST,14,23,-0.08416149068322998
13,coex_PIT,19,25,-0.02927318295739334
14,coex_LVR,27,30,0.05286195286195272
15,coex_THY,9,26,0.8956447963800906
16,coex_PNC,30,22,0.21362889983579647
17,coex_ATC,16,17,0.20755347593582885
18,coex_BRO,13,28,0.10576923076923084
19,coex_SKN,15,18,0.7619047619047614
20,coex_ADS,24,18,1.4027777777777781
21,coex_GEJ,20,18,-0.0011179910560712436
22,coex_BRB,11,17,-0.012500000000000178
23,coex_UTR,6,14,1.185714285714286
24,coex_STM,22,25,0.55008658008658
25,coex_HRA,18,23,0.3889174500587542
26,coex_PRS,12,24,0.48088235294117654
27,coex_ATA,28,19,0.4079922027290448
28,coex_FIB,6,23,-0.03460769615192394
29,coex_BRC,8,23,-0.17412008281573543
30,coex_ATT,26,14,0.8159523809523805
31,coex_TNV,31,12,0.725806451612903
32,coex_SPL,25,26,0.28521193092621644
33,coex_LCL,7,17,0.7503501400560224
34,coex_CLS,17,21,-0.0037057885355098463
35,coex_EMC,15,18,0.4019607843137254
36,coex_CLT,16,24,0.306193693693694
37,coex_core,41,32,0.16284663271080935
38,coex_WBL,24,26,-0.1381410256410256
39,co-essential,7,7,-1.1968864468864466
40,GOBP,23,18,1.3821428571428571
41,ppi,47,50,-0.028927396358850554
42,reactome_copathway,16,16,0.24675925925925934
43,MP,13,16,-0.8277389277389275
44,HP,12,19,0.3731607243916242
45,GI_net,15,18,-0.0003565062388592999
46,gene_gene_on_CbG_name_mapped,14,14,-0.2142857142857144
47,gene_gene_on_GcG_name_mapped,29,31,-0.03268446421950322
48,GOMF,6,5,
