,Layer,Thrombophilia nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,40,42,-0.07063008130081294
1,coex_BST,22,18,0.7409090909090907
2,coex_OVR,21,22,-0.04062216852914524
3,coex_LNG,27,32,0.5327112429448362
4,coex_ITI,25,38,0.20985797827903085
5,coex_VGN,30,25,0.3493939393939396
6,coex_HRV,24,17,0.22291666666666687
7,coex_MSG,33,23,0.16198214024300972
8,coex_ADV,22,26,0.5544871794871797
9,coex_EMS,22,19,0.45539152759948687
10,coex_SMU,23,19,0.25068105045221767
11,coex_ARG,17,18,-0.09538398692810457
12,coex_TST,30,24,0.09490740740740744
13,coex_PIT,29,26,0.3128096691857265
14,coex_LVR,42,30,0.01388888888888884
15,coex_THY,23,29,0.6670929241261723
16,coex_PNC,29,20,0.4451970443349751
17,coex_ATC,23,25,0.284782608695652
18,coex_BRO,28,23,0.09666910242357796
19,coex_SKN,29,23,-0.03856071964017982
20,coex_ADS,25,24,0.6116666666666668
21,coex_GEJ,22,22,0.26467331118493886
22,coex_BRB,21,18,0.0063393778564053704
23,coex_UTR,10,20,1.2340350877192985
24,coex_STM,29,28,0.5414290035433411
25,coex_HRA,23,20,0.19999999999999973
26,coex_PRS,25,25,0.2549999999999999
27,coex_ATA,26,24,0.4214102564102564
28,coex_FIB,18,17,0.05882352941176494
29,coex_BRC,24,24,-0.04619565217391286
30,coex_ATT,30,26,0.07179487179487198
31,coex_TNV,25,20,0.6375000000000002
32,coex_SPL,39,36,0.3285470085470086
33,coex_LCL,11,18,0.2937500000000002
34,coex_CLS,23,35,0.30902373488580404
35,coex_EMC,29,25,0.019310344827586423
36,coex_CLT,26,30,0.3881766381766383
37,coex_core,32,35,0.270920868347339
38,coex_WBL,31,32,0.2820100486431132
39,co-essential,8,4,0.14583333333333348
40,GOBP,24,20,0.914796181630547
41,ppi,49,50,0.08137085137085132
42,reactome_copathway,24,21,0.17440476190476195
43,MP,15,19,0.3765350877192981
44,HP,31,19,0.2072722127900395
45,GI_net,17,20,0.11827731092436977
46,gene_gene_on_CbG_name_mapped,22,15,0.20618345618345613
47,gene_gene_on_GcG_name_mapped,26,33,-0.009956145549365969
48,GOMF,4,4,
