,Layer,Chorea nodes,Tetralogy_of_Fallot nodes,sAB
0,coex_KDN,42,40,0.19759001161440182
1,coex_BST,40,26,0.2124847374847374
2,coex_OVR,37,33,0.11762509792401099
3,coex_LNG,40,33,0.4227432778489115
4,coex_ITI,45,38,0.28069288800996106
5,coex_VGN,41,36,0.27662073698659073
6,coex_HRV,19,25,0.07095693779904266
7,coex_MSG,44,38,0.025396779087407895
8,coex_ADV,33,30,0.3108225108225109
9,coex_EMS,40,24,0.34756049960967994
10,coex_SMU,37,22,0.11206429850497646
11,coex_ARG,38,22,0.203176043557169
12,coex_TST,47,36,-0.028482725227149785
13,coex_PIT,45,31,0.14888888888888885
14,coex_LVR,33,26,0.2559756627553236
15,coex_THY,37,31,0.4925774354036272
16,coex_PNC,36,25,0.158998178506375
17,coex_ATC,38,38,0.10526315789473673
18,coex_BRO,42,31,0.225212002609263
19,coex_SKN,41,33,-0.048450889914304573
20,coex_ADS,33,28,0.4668831168831171
21,coex_GEJ,44,30,0.6176051560379916
22,coex_BRB,26,20,0.06872909698996654
23,coex_UTR,31,28,0.7164922283839728
24,coex_STM,43,34,0.20843622861406708
25,coex_HRA,40,27,0.18000276395798798
26,coex_PRS,39,29,0.2964190981432362
27,coex_ATA,36,28,0.2078373015873014
28,coex_FIB,27,17,0.11220043572984761
29,coex_BRC,44,26,0.2058191808191805
30,coex_ATT,39,32,0.15327058504875435
31,coex_TNV,21,21,0.2084494773519161
32,coex_SPL,35,27,0.24282300733913642
33,coex_LCL,26,9,0.08771241830065346
34,coex_CLS,39,29,0.2891648581303756
35,coex_EMC,39,29,0.07873043116450806
36,coex_CLT,42,32,0.2283824002574002
37,coex_core,43,35,0.3050096170659209
38,coex_WBL,35,13,0.06063067367415176
39,co-essential,13,10,1.4782051282051283
40,GOBP,23,12,0.6749999999999998
41,ppi,50,48,0.17279761904761926
42,reactome_copathway,16,16,0.4583333333333335
43,MP,17,14,0.6749465811965814
44,HP,26,27,0.9806348438423909
45,GI_net,21,11,0.1829004329004329
46,gene_gene_on_CbG_name_mapped,8,5,-0.011538461538461497
47,gene_gene_on_GcG_name_mapped,38,37,0.012522522522522284
48,GOMF,3,8,
