,Layer,Gingivostomatitis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,28,42,0.025000000000000133
1,coex_BST,8,27,0.034615384615384936
2,coex_OVR,13,29,0.26737400530503974
3,coex_LNG,39,41,0.6160087719298244
4,coex_ITI,20,39,0.0026075619295957697
5,coex_VGN,15,31,0.22870068562436785
6,coex_HRV,21,26,1.2505647840531564
7,coex_MSG,36,39,0.20465811965811964
8,coex_ADV,31,30,0.6340007415647015
9,coex_EMS,11,28,0.15039127539127506
10,coex_SMU,14,26,0.07692307692307665
11,coex_ARG,11,32,0.4110310421286032
12,coex_TST,19,31,-0.08994906621392196
13,coex_PIT,17,29,0.22856800766283536
14,coex_LVR,34,33,0.29888034759358284
15,coex_THY,15,33,0.6295454545454544
16,coex_PNC,20,28,0.24345238095238075
17,coex_ATC,29,37,0.5015144454799627
18,coex_BRO,21,31,0.13813068651778315
19,coex_SKN,19,29,0.4798872180451128
20,coex_ADS,22,31,0.2784540474741326
21,coex_GEJ,32,31,1.076545698924731
22,coex_BRB,20,26,0.25373369320737726
23,coex_UTR,7,24,1.298136645962733
24,coex_STM,31,31,0.5161290322580643
25,coex_HRA,21,26,0.9942095847848602
26,coex_PRS,9,24,0.3333333333333335
27,coex_ATA,34,30,0.5600490196078431
28,coex_FIB,6,18,0.541666666666667
29,coex_BRC,13,24,0.663028413028413
30,coex_ATT,18,27,0.37830687830687815
31,coex_TNV,13,23,0.26570048309178773
32,coex_SPL,37,36,0.6966452754123988
33,coex_LCL,13,22,1.882867132867133
34,coex_CLS,12,37,0.4625307125307123
35,coex_EMC,31,33,0.6619959677419356
36,coex_CLT,21,38,0.7582169709989262
37,coex_core,36,42,0.6138888888888889
38,coex_WBL,35,39,0.3152734778121773
39,co-essential,1,5,
40,GOBP,18,25,1.0105769230769228
41,ppi,47,50,0.2624610660232505
42,reactome_copathway,20,18,1.6750000000000003
43,MP,14,12,0.09478021978021989
44,HP,14,36,0.5637301587301584
45,GI_net,12,18,-0.07349355625217724
46,gene_gene_on_CbG_name_mapped,18,14,0.7003968253968256
47,gene_gene_on_GcG_name_mapped,25,28,0.03243935309973067
48,GOMF,9,8,2.0
