,Layer,myoclonic_epilepsy nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,42,39,0.07790666123999457
1,coex_BST,34,29,0.2734351299423601
2,coex_OVR,35,30,0.247985347985348
3,coex_LNG,41,25,0.46118255728011803
4,coex_ITI,39,42,0.15934065934065944
5,coex_VGN,38,37,0.34655286865813184
6,coex_HRV,14,28,-0.005952380952380931
7,coex_MSG,37,40,0.12952790452790452
8,coex_ADV,35,29,0.29949199507389146
9,coex_EMS,36,31,0.16616161616161595
10,coex_SMU,36,21,0.159983291562239
11,coex_ARG,38,28,0.15894850763271817
12,coex_TST,45,34,0.026636055265988334
13,coex_PIT,41,35,0.11065040650406499
14,coex_LVR,34,30,0.18155637254901968
15,coex_THY,34,32,0.3730782085561497
16,coex_PNC,36,26,0.19985525227460688
17,coex_ATC,38,33,0.09415504189410795
18,coex_BRO,46,35,0.3800976800976803
19,coex_SKN,36,34,0.21344537815126063
20,coex_ADS,31,28,0.6600939383197448
21,coex_GEJ,36,32,0.0863015232974913
22,coex_BRB,25,29,0.4776500638569605
23,coex_UTR,33,16,0.10161564625850339
24,coex_STM,38,38,0.32894736842105265
25,coex_HRA,35,27,0.3543096091483189
26,coex_PRS,33,34,-0.13367653710059346
27,coex_ATA,36,32,0.4750816993464051
28,coex_FIB,32,17,-0.16666666666666674
29,coex_BRC,40,29,0.2194415851775604
30,coex_ATT,36,33,0.5154671717171717
31,coex_TNV,22,24,0.37896405919661724
32,coex_SPL,36,26,0.2551006341328921
33,coex_LCL,25,15,0.3431578947368421
34,coex_CLS,38,39,0.22610971295181836
35,coex_EMC,36,34,0.256258234519104
36,coex_CLT,36,38,0.25784336968547494
37,coex_core,39,38,0.4286809681546524
38,coex_WBL,30,18,0.4541666666666666
39,co-essential,7,3,0.5476190476190474
40,GOBP,19,26,0.9043918918918923
41,ppi,49,45,-0.06603946543156258
42,reactome_copathway,12,6,0.2874331550802136
43,MP,11,17,0.21666666666666679
44,HP,27,18,0.124074074074074
45,GI_net,16,11,-0.35984848484848486
46,gene_gene_on_CbG_name_mapped,8,9,-0.21691176470588225
47,gene_gene_on_GcG_name_mapped,41,32,0.05167360872552407
48,GOMF,8,8,
