,Layer,myoclonic_epilepsy nodes,Atonic_seizure nodes,sAB
0,coex_KDN,42,38,-0.04129400648387982
1,coex_BST,34,27,0.26727272727272733
2,coex_OVR,35,22,-0.11309523809523814
3,coex_LNG,41,24,0.08903220762976849
4,coex_ITI,39,36,0.3241025641025641
5,coex_VGN,38,30,-0.06971104231166159
6,coex_HRV,14,20,-0.08718487394957952
7,coex_MSG,37,33,0.07509067509067502
8,coex_ADV,35,26,0.343809523809524
9,coex_EMS,36,21,0.2679615705931493
10,coex_SMU,36,25,-0.05285351674445238
11,coex_ARG,38,28,0.24228184096605143
12,coex_TST,45,35,-0.0638888888888891
13,coex_PIT,41,38,0.026443892297550953
14,coex_LVR,34,28,0.07363106532935748
15,coex_THY,34,24,0.4225557499887831
16,coex_PNC,36,25,0.25510928961748647
17,coex_ATC,38,29,0.23593466424682408
18,coex_BRO,46,38,0.13502274204028586
19,coex_SKN,36,26,0.17051282051282035
20,coex_ADS,31,27,0.8661887694145758
21,coex_GEJ,36,29,0.20747863247863263
22,coex_BRB,25,31,0.3876728110599079
23,coex_UTR,33,14,-0.0035460992907803135
24,coex_STM,38,31,-0.02353534607908281
25,coex_HRA,35,29,0.2357102479205362
26,coex_PRS,33,24,-0.0721690590111641
27,coex_ATA,36,25,0.37777777777777777
28,coex_FIB,32,20,0.011538461538461497
29,coex_BRC,40,36,0.23498498498498477
30,coex_ATT,36,23,0.2591442374051067
31,coex_TNV,22,22,1.3362470862470865
32,coex_SPL,36,24,0.3305555555555557
33,coex_LCL,25,21,0.156190476190476
34,coex_CLS,38,30,0.39413875598086134
35,coex_EMC,36,21,-0.2154761904761906
36,coex_CLT,36,34,0.17565359477124165
37,coex_core,39,34,0.588189588189588
38,coex_WBL,30,28,0.36806239737274216
39,co-essential,7,9,-0.0607142857142855
40,GOBP,19,17,0.43379629629629646
41,ppi,49,50,-0.011304885590599723
42,reactome_copathway,12,18,0.7634680134680136
43,MP,11,12,0.4742424242424237
44,HP,27,25,-0.15814814814814815
45,GI_net,16,18,-0.2540849673202614
46,gene_gene_on_CbG_name_mapped,8,22,0.218560606060606
47,gene_gene_on_GcG_name_mapped,41,35,-0.028882192296826537
48,GOMF,8,7,
