,Layer,Hepatocellular_carcinoma nodes,Neoplasm_of_the_skin nodes,sAB
0,coex_KDN,42,44,-0.4216762520465136
1,coex_BST,30,33,-0.26789321789321785
2,coex_OVR,31,33,-0.24583333333333335
3,coex_LNG,36,38,-0.3127469574837993
4,coex_ITI,44,40,-0.4077922077922078
5,coex_VGN,38,35,-0.5753424657534247
6,coex_HRV,24,29,-0.5538076341647769
7,coex_MSG,41,44,-0.39296661014738477
8,coex_ADV,25,32,-0.054824561403508554
9,coex_EMS,31,34,-0.08735950956064831
10,coex_SMU,33,30,-0.21823149528067542
11,coex_ARG,33,32,-0.4494949494949496
12,coex_TST,43,38,-0.12955785242606943
13,coex_PIT,38,29,-0.3344529620500043
14,coex_LVR,41,32,-0.22909183929168053
15,coex_THY,32,33,-0.35748834498834503
16,coex_PNC,37,31,-0.06543925329504097
17,coex_ATC,37,38,-0.2504572241414347
18,coex_BRO,33,37,-0.020641194554237963
19,coex_SKN,37,38,-0.027027027027027195
20,coex_ADS,26,36,-0.08750675553954235
21,coex_GEJ,36,34,-0.4439277687359531
22,coex_BRB,25,29,-0.3064623243933591
23,coex_UTR,26,30,-0.0917029511369134
24,coex_STM,42,36,-0.23321123321123327
25,coex_HRA,32,32,-0.203125
26,coex_PRS,33,33,-0.40909090909090917
27,coex_ATA,29,31,-0.068965517241379
28,coex_FIB,34,29,-0.39049111807732517
29,coex_BRC,35,34,-0.31756789672390684
30,coex_ATT,32,33,-0.038172043010753054
31,coex_TNV,21,28,-0.5893687707641195
32,coex_SPL,39,32,-0.028202871072589453
33,coex_LCL,27,24,-0.43817828134598336
34,coex_CLS,39,32,-0.3515907581014246
35,coex_EMC,39,31,-0.33477812177502564
36,coex_CLT,40,33,-0.25535714285714284
37,coex_core,41,46,-0.2551041552394535
38,coex_WBL,37,38,-0.09459459459459452
39,co-essential,24,10,0.49080459770114926
40,GOBP,9,16,0.8021739130434784
41,ppi,50,50,-0.19999999999999996
42,reactome_copathway,29,27,-0.1196261448375957
43,MP,11,9,-1.1083333333333334
44,HP,24,24,0.0625
45,GI_net,30,24,-0.056481481481481355
46,gene_gene_on_CbG_name_mapped,13,15,-0.3027472527472528
47,gene_gene_on_GcG_name_mapped,35,39,-0.24082764082764063
48,GOMF,4,4,
