,Layer,Ewing_sarcoma nodes,Fibrosarcoma nodes,sAB
0,coex_KDN,43,46,-0.1396456527419594
1,coex_BST,35,26,0.26190776436678087
2,coex_OVR,37,36,-0.4132060142334115
3,coex_LNG,34,36,0.05672268907563027
4,coex_ITI,41,43,-0.059888447721686555
5,coex_VGN,38,38,-0.07894736842105265
6,coex_HRV,21,37,0.2321428571428572
7,coex_MSG,38,42,0.1662593984962406
8,coex_ADV,29,27,0.371556285349389
9,coex_EMS,32,26,-0.2051143899204244
10,coex_SMU,37,34,-0.25625823451910423
11,coex_ARG,34,30,-0.3388480392156863
12,coex_TST,43,42,-0.08201094391244879
13,coex_PIT,38,40,-0.16078304331728988
14,coex_LVR,38,41,-0.12984839375375756
15,coex_THY,43,36,-0.1698717948717947
16,coex_PNC,38,33,-0.15983219893523803
17,coex_ATC,39,34,-0.1048477896033817
18,coex_BRO,37,38,-0.0836889521100046
19,coex_SKN,37,39,-0.1448553816974869
20,coex_ADS,31,40,0.3324697124507372
21,coex_GEJ,31,28,-0.001566416040100549
22,coex_BRB,24,34,-0.3885491746105556
23,coex_UTR,30,28,0.12631578947368416
24,coex_STM,40,43,-0.13683804987391435
25,coex_HRA,35,39,-0.21057321057321055
26,coex_PRS,35,32,-0.052971748400852725
27,coex_ATA,34,35,-0.24122468017057574
28,coex_FIB,33,32,-0.17782738095238093
29,coex_BRC,38,38,-0.06578947368421062
30,coex_ATT,37,38,-0.11874858051328596
31,coex_TNV,16,32,-0.30618351063829774
32,coex_SPL,36,31,0.009709516931471596
33,coex_LCL,30,23,-0.1020408163265305
34,coex_CLS,37,31,-0.4316631622134466
35,coex_EMC,35,33,-0.26070762260127944
36,coex_CLT,34,38,-0.019995319995319782
37,coex_core,42,44,-0.08118505062378123
38,coex_WBL,37,37,0.2297297297297296
39,co-essential,12,8,-0.46889952153110004
40,GOBP,10,6,-1.1079365079365084
41,ppi,50,50,-0.08999999999999986
42,reactome_copathway,20,28,0.34888763197586736
43,MP,10,6,-0.7884615384615383
44,HP,23,22,-0.4337003576134011
45,GI_net,31,19,-0.09072580645161299
46,gene_gene_on_CbG_name_mapped,8,17,-0.26955882352941174
47,gene_gene_on_GcG_name_mapped,28,33,-0.28878362075083386
48,GOMF,5,2,
