,Layer,Menorrhagia nodes,Endometrial_carcinoma nodes,sAB
0,coex_KDN,36,47,-0.05650972685066513
1,coex_BST,26,38,0.26208248987854255
2,coex_OVR,24,36,0.15940274414850686
3,coex_LNG,27,38,0.8224630880880879
4,coex_ITI,32,43,0.13455910852713182
5,coex_VGN,31,36,0.018984379179372013
6,coex_HRV,21,17,0.5576563958916898
7,coex_MSG,34,39,0.031204157110684028
8,coex_ADV,19,30,0.5562523329600595
9,coex_EMS,21,28,-0.08248299319727881
10,coex_SMU,22,36,0.15687042842215249
11,coex_ARG,19,31,-0.015857385398981183
12,coex_TST,31,39,0.1099964551577457
13,coex_PIT,32,36,0.06565656565656552
14,coex_LVR,32,35,0.031150053304904057
15,coex_THY,22,33,0.40537449971412176
16,coex_PNC,27,34,0.0060331825037702735
17,coex_ATC,25,33,0.3584952978056424
18,coex_BRO,28,34,0.18341691515315794
19,coex_SKN,29,39,0.20999115826702042
20,coex_ADS,20,30,0.1605911330049259
21,coex_GEJ,23,33,0.22769268774703555
22,coex_BRB,23,20,0.22249747219413551
23,coex_UTR,19,32,0.11701818885448922
24,coex_STM,30,38,0.19757481940144483
25,coex_HRA,25,34,0.33312204192021655
26,coex_PRS,27,38,0.008214981899192342
27,coex_ATA,23,30,0.24122231337161582
28,coex_FIB,20,34,0.07301341589267274
29,coex_BRC,28,34,0.1787114845938378
30,coex_ATT,30,35,0.2525370804059328
31,coex_TNV,18,23,0.2608328437132781
32,coex_SPL,29,31,0.45317409207111226
33,coex_LCL,19,28,-0.20832666773316255
34,coex_CLS,23,42,-0.00468227424749168
35,coex_EMC,29,33,0.051724137931034475
36,coex_CLT,28,41,0.06964222592536484
37,coex_core,29,44,0.18271713073944307
38,coex_WBL,35,32,0.2596415245202557
39,co-essential,8,17,1.8215944272445816
40,GOBP,30,17,1.0116584564860425
41,ppi,50,49,0.35411255411255405
42,reactome_copathway,25,26,1.102222222222222
43,MP,22,17,1.4103174603174602
44,HP,33,23,0.5378787878787878
45,GI_net,17,27,0.1207594148770621
46,gene_gene_on_CbG_name_mapped,9,12,0.34126984126984117
47,gene_gene_on_GcG_name_mapped,33,34,0.059768004895309534
48,GOMF,6,4,
