,Layer,Renal_tubular_acidosis nodes,Cerebral_palsy nodes,sAB
0,coex_KDN,41,42,0.17540650406504077
1,coex_BST,29,32,0.030939509059029868
2,coex_OVR,31,32,0.050163603913273125
3,coex_LNG,33,38,0.15829346092504037
4,coex_ITI,30,39,0.03517279821627639
5,coex_VGN,28,32,-0.0665178571428573
6,coex_HRV,18,19,0.20454545454545459
7,coex_MSG,34,40,-0.04352146263910961
8,coex_ADV,29,28,0.2079859795377037
9,coex_EMS,28,31,0.14019692662629257
10,coex_SMU,28,32,0.010714285714285676
11,coex_ARG,33,32,-0.003024193548387011
12,coex_TST,33,39,0.11081973581973559
13,coex_PIT,33,40,0.2606327358087921
14,coex_LVR,29,32,0.03372479544126228
15,coex_THY,26,27,0.0012569130216188995
16,coex_PNC,26,34,0.22141779788838623
17,coex_ATC,27,34,0.026206293081895815
18,coex_BRO,28,36,0.03125
19,coex_SKN,30,36,0.29848484848484835
20,coex_ADS,19,29,0.4744732896709536
21,coex_GEJ,31,31,0.27975528364849844
22,coex_BRB,15,28,0.16560846560846576
23,coex_UTR,24,24,-0.020833333333333037
24,coex_STM,29,37,0.03256234290717064
25,coex_HRA,31,33,0.1335592840087816
26,coex_PRS,28,36,0.10739087301587302
27,coex_ATA,29,27,0.08891534391534384
28,coex_FIB,26,30,-0.15741758241758252
29,coex_BRC,30,35,0.3420634920634922
30,coex_ATT,29,32,-0.026118216506501035
31,coex_TNV,11,18,0.158143939393939
32,coex_SPL,32,34,0.47448752228164004
33,coex_LCL,25,25,-0.036666666666666625
34,coex_CLS,28,35,0.125
35,coex_EMC,29,32,0.07782738095238106
36,coex_CLT,30,36,0.10050505050505043
37,coex_core,38,37,0.03927729772191668
38,coex_WBL,36,30,0.3416666666666668
39,co-essential,18,11,-0.3306339254615116
40,GOBP,37,26,1.559218559218559
41,ppi,49,48,0.23662905884003105
42,reactome_copathway,15,23,0.25847069597069594
43,MP,21,16,2.4380952380952374
44,HP,36,32,0.5470328282828283
45,GI_net,18,17,0.06358543417366924
46,gene_gene_on_CbG_name_mapped,17,3,0.2529411764705882
47,gene_gene_on_GcG_name_mapped,31,30,-0.1448439978847169
48,GOMF,13,6,
