,Layer,Urinary_bladder_inflammation nodes,Cholangitis nodes,sAB
0,coex_KDN,34,42,-0.30434039644565924
1,coex_BST,21,25,0.08926406926406916
2,coex_OVR,25,26,0.43948194662480367
3,coex_LNG,32,30,0.2714126807563959
4,coex_ITI,32,35,-0.1512726545842218
5,coex_VGN,27,28,-0.0017095936907256526
6,coex_HRV,29,25,-0.031856763925729226
7,coex_MSG,33,32,-0.13935751748251768
8,coex_ADV,23,28,0.13237577639751552
9,coex_EMS,17,23,0.12007672634271138
10,coex_SMU,20,28,0.2976588628762542
11,coex_ARG,22,21,-0.23809523809523814
12,coex_TST,30,32,-0.17197580645161303
13,coex_PIT,34,32,-0.23728059772296017
14,coex_LVR,26,31,-0.0766523798781864
15,coex_THY,21,27,0.04839841010053769
16,coex_PNC,25,25,0.1200000000000001
17,coex_ATC,26,22,0.047582851930677794
18,coex_BRO,34,25,0.11989032901296115
19,coex_SKN,24,26,0.0447695035460991
20,coex_ADS,26,28,0.34615384615384626
21,coex_GEJ,22,28,0.026587301587301493
22,coex_BRB,29,21,-0.030344827586206824
23,coex_UTR,14,19,0.13479262672811032
24,coex_STM,25,33,0.29770114942528747
25,coex_HRA,24,27,0.02153846153846173
26,coex_PRS,20,26,0.14489702517162462
27,coex_ATA,25,21,0.44728778467908903
28,coex_FIB,20,19,0.01769005847953231
29,coex_BRC,31,29,0.055875576036866326
30,coex_ATT,21,23,0.3240986214209971
31,coex_TNV,21,20,-0.0436991869918697
32,coex_SPL,23,23,0.8878129117259554
33,coex_LCL,15,19,-0.10650154798761591
34,coex_CLS,23,30,0.18058441558441585
35,coex_EMC,24,21,-0.2557971014492755
36,coex_CLT,25,32,0.2489631336405529
37,coex_core,33,38,0.04391289685407318
38,coex_WBL,26,28,0.2289818846422622
39,co-essential,10,11,-0.00108225108225124
40,GOBP,4,24,0.5527950310559016
41,ppi,50,48,0.028775510204081423
42,reactome_copathway,26,17,0.2562500000000001
43,MP,9,17,0.295548654244306
44,HP,16,21,0.4560408622908625
45,GI_net,19,18,-0.27961570593149543
46,gene_gene_on_CbG_name_mapped,17,13,0.012066365007541213
47,gene_gene_on_GcG_name_mapped,33,30,-0.11176046176046195
48,GOMF,3,6,
