,Layer,Primary_dilated_cardiomyopathy nodes,Cervical_cancer nodes,sAB
0,coex_KDN,31,41,0.010471143610867095
1,coex_BST,21,34,0.11584107327141391
2,coex_OVR,24,38,0.11690011318619176
3,coex_LNG,25,39,0.018108974358974628
4,coex_ITI,27,35,0.11911589008363177
5,coex_VGN,28,37,0.2676236143978077
6,coex_HRV,40,24,0.6260416666666666
7,coex_MSG,44,41,0.2691698187035345
8,coex_ADV,20,26,0.014381270903010002
9,coex_EMS,34,35,0.2756302521008407
10,coex_SMU,36,32,0.38225081699346397
11,coex_ARG,21,31,0.276676154332701
12,coex_TST,30,38,-0.0863777089783282
13,coex_PIT,26,39,0.06153846153846154
14,coex_LVR,18,36,-0.009259259259259522
15,coex_THY,31,35,0.49593927893738154
16,coex_PNC,16,32,-0.008710106382978644
17,coex_ATC,38,37,1.0760036352141618
18,coex_BRO,27,32,0.08087139045825475
19,coex_SKN,24,41,-0.02687617260788011
20,coex_ADS,21,28,0.5255952380952382
21,coex_GEJ,24,34,0.4930632630410654
22,coex_BRB,21,20,-0.04947735191637648
23,coex_UTR,22,27,0.19880780595066305
24,coex_STM,29,39,-0.03305247828574398
25,coex_HRA,43,37,0.6158278135022321
26,coex_PRS,43,38,0.04445275548906724
27,coex_ATA,19,34,0.07095916817571135
28,coex_FIB,17,39,0.15007541478129705
29,coex_BRC,30,36,-0.02777777777777768
30,coex_ATT,29,36,0.05516591986492614
31,coex_TNV,26,22,0.2231934731934735
32,coex_SPL,23,36,0.09832940672520873
33,coex_LCL,24,33,0.3789893617021276
34,coex_CLS,28,36,0.06296296296296289
35,coex_EMC,19,31,0.3253395585738539
36,coex_CLT,24,33,0.15151515151515138
37,coex_core,41,38,0.7373005684944065
38,coex_WBL,34,35,0.5387191240132418
39,co-essential,11,16,0.19393939393939386
40,GOBP,23,11,0.6988636363636367
41,ppi,49,50,0.1933147804576376
42,reactome_copathway,17,27,0.18323529411764738
43,MP,25,7,1.583392857142857
44,HP,38,20,0.6514519056261343
45,GI_net,17,28,-0.05322943130740665
46,gene_gene_on_CbG_name_mapped,11,15,0.1104895104895105
47,gene_gene_on_GcG_name_mapped,27,31,0.011226465620236548
48,GOMF,2,6,
