,Layer,myoclonic_epilepsy nodes,Bronchiolitis nodes,sAB
0,coex_KDN,42,34,0.4677871148459385
1,coex_BST,34,23,0.4631825501390723
2,coex_OVR,35,25,0.21595036319612593
3,coex_LNG,41,34,0.4076526637502247
4,coex_ITI,39,32,0.36976353816961005
5,coex_VGN,38,25,0.19532163742690045
6,coex_HRV,14,27,0.7413859852884239
7,coex_MSG,37,32,0.12382491186839006
8,coex_ADV,35,29,0.4072506157635467
9,coex_EMS,36,22,0.1338763575605677
10,coex_SMU,36,25,0.31307832422586523
11,coex_ARG,38,24,0.5340619694397284
12,coex_TST,45,30,0.3044444444444445
13,coex_PIT,41,31,0.18842306395414177
14,coex_LVR,34,31,0.431491753028755
15,coex_THY,34,28,1.1536304868031002
16,coex_PNC,36,28,0.5935099846390168
17,coex_ATC,38,29,0.3659081390478851
18,coex_BRO,46,32,0.6368400658723239
19,coex_SKN,36,23,0.06613854089904203
20,coex_ADS,31,29,0.7997775305895438
21,coex_GEJ,36,30,0.6563620071684584
22,coex_BRB,25,26,1.0599999999999998
23,coex_UTR,33,13,-0.015151515151515138
24,coex_STM,38,28,0.32008999772157654
25,coex_HRA,35,26,0.6342857142857141
26,coex_PRS,33,24,0.2803030303030303
27,coex_ATA,36,32,0.39282752902155904
28,coex_FIB,32,19,-0.009264232008592943
29,coex_BRC,40,22,0.9204545454545454
30,coex_ATT,36,24,0.9361111111111111
31,coex_TNV,22,24,1.1978166760775455
32,coex_SPL,36,26,0.2706093189964158
33,coex_LCL,25,22,0.28930232558139535
34,coex_CLS,38,27,0.3000374868795923
35,coex_EMC,36,24,0.054166666666666696
36,coex_CLT,36,27,0.3337128111718277
37,coex_core,39,36,0.6258781173164736
38,coex_WBL,30,37,0.4396742896742898
39,co-essential,7,7,0.5714285714285712
40,GOBP,19,16,1.4470862470862471
41,ppi,49,50,0.29950319521748114
42,reactome_copathway,12,24,0.7261434217955958
43,MP,11,13,3.2404761904761905
44,HP,27,19,0.6138655818289687
45,GI_net,16,17,-0.0059297912713471845
46,gene_gene_on_CbG_name_mapped,8,14,0.34496753246753253
47,gene_gene_on_GcG_name_mapped,41,38,0.1339921311038128
48,GOMF,8,2,
