,Layer,Movement_disorder nodes,Hereditary_factor_IX_deficiency_disease nodes,sAB
0,coex_KDN,34,40,0.15828696343402227
1,coex_BST,25,30,0.3784848484848484
2,coex_OVR,22,26,0.25
3,coex_LNG,24,34,0.10905103668261562
4,coex_ITI,33,32,0.217817599067599
5,coex_VGN,27,30,0.090041928721174
6,coex_HRV,20,16,0.7472222222222222
7,coex_MSG,30,34,0.09160539215686292
8,coex_ADV,23,30,0.6713768115942029
9,coex_EMS,26,24,0.6238461538461539
10,coex_SMU,24,21,0.43685300207039335
11,coex_ARG,32,24,0.7767857142857144
12,coex_TST,39,30,0.24955406911928635
13,coex_PIT,35,34,-0.02381827731092434
14,coex_LVR,29,39,0.3267540437925833
15,coex_THY,26,28,0.7241494888553714
16,coex_PNC,23,29,0.4320147618498442
17,coex_ATC,21,31,0.31380716058135416
18,coex_BRO,41,27,0.4550304878048781
19,coex_SKN,25,32,0.3390330188679247
20,coex_ADS,21,21,0.2749999999999999
21,coex_GEJ,32,29,0.5899634047167255
22,coex_BRB,36,14,0.6021428571428573
23,coex_UTR,20,22,0.30389610389610366
24,coex_STM,31,33,0.28344941348973607
25,coex_HRA,26,30,0.29583938074504124
26,coex_PRS,22,28,-0.027272727272727337
27,coex_ATA,26,27,0.6776923076923076
28,coex_FIB,24,26,0.21153846153846145
29,coex_BRC,39,29,0.7021432892576269
30,coex_ATT,23,29,0.47672459363023645
31,coex_TNV,19,14,0.92914979757085
32,coex_SPL,22,38,0.4088398963510471
33,coex_LCL,22,22,0.31818181818181834
34,coex_CLS,31,36,0.44861111111111107
35,coex_EMC,24,31,0.2060404807084124
36,coex_CLT,29,34,0.09964100582761848
37,coex_core,34,34,0.6343511011442704
38,coex_WBL,31,35,0.3859516827258762
39,co-essential,7,8,0.3071428571428574
40,GOBP,18,30,1.9211309523809526
41,ppi,50,49,0.23185734900020627
42,reactome_copathway,11,17,1.1016042780748663
43,MP,7,16,0.4642857142857144
44,HP,20,18,0.3862573099415205
45,GI_net,16,16,-0.125
46,gene_gene_on_CbG_name_mapped,14,12,0.19597069597069594
47,gene_gene_on_GcG_name_mapped,35,32,-0.00773587420042654
48,GOMF,4,7,
