,Layer,Peripheral_arterial_disease nodes,Coronary_artery_disorder nodes,sAB
0,coex_KDN,38,43,-0.000281954887218161
1,coex_BST,26,26,0.4161538461538461
2,coex_OVR,28,32,-0.07078419120518609
3,coex_LNG,37,37,0.20641531942901814
4,coex_ITI,34,42,-0.009540889526542307
5,coex_VGN,33,38,0.15050967339296872
6,coex_HRV,24,31,0.1749649368863957
7,coex_MSG,37,40,0.1430809055809057
8,coex_ADV,29,25,0.3536143039591315
9,coex_EMS,27,30,-0.010437710437710468
10,coex_SMU,24,28,0.16675800755084635
11,coex_ARG,31,30,0.08975664968873831
12,coex_TST,36,39,0.04649572649572642
13,coex_PIT,35,41,0.027797135114208338
14,coex_LVR,33,36,0.08455826925976173
15,coex_THY,32,29,0.5133481646273639
16,coex_PNC,35,32,0.08849280383795355
17,coex_ATC,34,28,0.016830958248508887
18,coex_BRO,32,37,-0.05307481394437907
19,coex_SKN,35,34,0.3088235294117645
20,coex_ADS,26,30,0.5696969696969698
21,coex_GEJ,29,27,0.3387092738101196
22,coex_BRB,28,31,-0.18949660235882226
23,coex_UTR,20,21,0.3250000000000002
24,coex_STM,38,38,0.10526315789473673
25,coex_HRA,33,29,0.39154616240266993
26,coex_PRS,30,29,0.05022404052211149
27,coex_ATA,38,33,0.6717608131590844
28,coex_FIB,28,26,0.31262718762718755
29,coex_BRC,31,35,0.16982265046781175
30,coex_ATT,36,32,0.11509562841530041
31,coex_TNV,26,28,0.4710714285714286
32,coex_SPL,35,33,-0.08744588744588722
33,coex_LCL,16,16,0.23568548387096744
34,coex_CLS,32,36,0.33915441176470584
35,coex_EMC,30,37,0.2055555555555557
36,coex_CLT,32,31,0.019761264720942195
37,coex_core,36,40,0.013851351351351404
38,coex_WBL,32,29,-0.0016958733747878263
39,co-essential,7,9,-0.6444444444444448
40,GOBP,23,17,0.45469556243550047
41,ppi,49,49,-0.09183673469387754
42,reactome_copathway,14,13,-0.026337792642140645
43,MP,18,17,0.3973214285714288
44,HP,12,15,-0.012962962962963065
45,GI_net,13,12,-0.16346153846153832
46,gene_gene_on_CbG_name_mapped,11,13,0.13053613053613033
47,gene_gene_on_GcG_name_mapped,33,32,-0.02835081585081589
48,GOMF,4,7,
