,Layer,Epididymitis nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,42,42,-0.04761904761904767
1,coex_BST,29,18,0.6863354037267082
2,coex_OVR,30,22,0.3582944149446612
3,coex_LNG,35,32,0.4187124703253735
4,coex_ITI,43,38,0.39747948683077206
5,coex_VGN,30,25,0.5151282051282049
6,coex_HRV,21,17,0.047096203346203236
7,coex_MSG,42,23,0.3186680469289165
8,coex_ADV,38,26,0.877732793522267
9,coex_EMS,29,19,0.67555202661827
10,coex_SMU,24,19,0.062275253350768445
11,coex_ARG,25,18,0.29444444444444473
12,coex_TST,28,24,0.16781135531135538
13,coex_PIT,33,26,0.03888625498794984
14,coex_LVR,28,30,0.10570607553366163
15,coex_THY,24,29,0.3077578857630008
16,coex_PNC,27,20,0.3720449172576832
17,coex_ATC,32,25,0.3985197368421054
18,coex_BRO,31,23,-0.11027998545530093
19,coex_SKN,32,23,0.7180839727195227
20,coex_ADS,31,24,0.7350684261974583
21,coex_GEJ,36,22,1.240740740740741
22,coex_BRB,25,18,-0.03406162464986018
23,coex_UTR,20,20,0.4736842105263155
24,coex_STM,32,28,0.3178454268530815
25,coex_HRA,28,20,0.11203703703703738
26,coex_PRS,28,25,0.24962962962962987
27,coex_ATA,29,24,0.3975641025641026
28,coex_FIB,22,17,0.23162621692033447
29,coex_BRC,29,24,0.1089841108857339
30,coex_ATT,26,26,0.4129670329670332
31,coex_TNV,27,20,0.9601457840819543
32,coex_SPL,23,36,-0.014533693605174758
33,coex_LCL,16,18,-0.03125
34,coex_CLS,35,35,0.5329004329004325
35,coex_EMC,28,25,0.4127310924369749
36,coex_CLT,33,30,0.17559523809523792
37,coex_core,44,35,0.6002051983584131
38,coex_WBL,30,32,0.1855174731182796
39,co-essential,15,4,-0.2023809523809521
40,GOBP,9,20,0.242647058823529
41,ppi,49,50,0.12125953411667689
42,reactome_copathway,22,21,0.17500000000000004
43,MP,15,19,0.3423900660742767
44,HP,14,19,0.1318637502848028
45,GI_net,25,20,0.5840697674418607
46,gene_gene_on_CbG_name_mapped,10,15,-0.06666666666666687
47,gene_gene_on_GcG_name_mapped,28,33,-0.017191824568874026
48,GOMF,5,4,
