,Layer,Respiratory_insufficiency nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,42,31,-0.12661763777539292
1,coex_BST,34,21,0.2892950702548225
2,coex_OVR,34,24,0.03483893557422979
3,coex_LNG,37,25,0.18605056669572795
4,coex_ITI,39,27,0.17145817145817133
5,coex_VGN,39,28,0.09741300366300365
6,coex_HRV,19,40,-0.04167038358608388
7,coex_MSG,43,44,-0.06942419382275022
8,coex_ADV,33,20,0.2363064608347627
9,coex_EMS,33,34,0.3110117859898369
10,coex_SMU,41,36,0.032397142153239855
11,coex_ARG,36,21,0.17698412698412724
12,coex_TST,40,30,-0.11250000000000004
13,coex_PIT,38,26,0.019483805668015997
14,coex_LVR,39,18,0.10317460317460303
15,coex_THY,37,31,0.5422496228947842
16,coex_PNC,35,16,-0.002941176470588225
17,coex_ATC,35,38,0.21842105263157885
18,coex_BRO,35,27,0.11938897422768413
19,coex_SKN,37,24,0.34201786532295
20,coex_ADS,29,21,0.21637931034482794
21,coex_GEJ,30,24,0.29705882352941204
22,coex_BRB,18,21,0.0033577533577529017
23,coex_UTR,32,22,0.11374562937062915
24,coex_STM,36,29,0.040841438255231344
25,coex_HRA,37,43,0.25300101396657193
26,coex_PRS,38,43,-0.0016810976623298224
27,coex_ATA,31,19,0.35375212224108665
28,coex_FIB,30,17,-0.007071339173967406
29,coex_BRC,37,30,0.0616848191475059
30,coex_ATT,40,29,0.07212018990504765
31,coex_TNV,18,26,0.4677871148459385
32,coex_SPL,34,23,0.2368981917709876
33,coex_LCL,28,24,-0.08974358974358987
34,coex_CLS,38,28,0.01563858940908114
35,coex_EMC,36,19,0.28161312371838676
36,coex_CLT,40,24,0.08229166666666665
37,coex_core,41,41,0.1368902439024391
38,coex_WBL,36,34,0.10486781777387555
39,co-essential,13,11,0.5157342657342658
40,GOBP,20,23,0.21136363636363642
41,ppi,50,49,0.16472892187177912
42,reactome_copathway,7,17,0.5406162464985997
43,MP,13,25,0.49342342342342294
44,HP,31,38,0.3266836445953596
45,GI_net,17,17,-0.09191176470588225
46,gene_gene_on_CbG_name_mapped,12,11,0.05368906455862987
47,gene_gene_on_GcG_name_mapped,41,27,0.04143418885169248
48,GOMF,6,2,
