,Layer,Pneumonia nodes,Keratitis nodes,sAB
0,coex_KDN,36,39,-0.05621414354291043
1,coex_BST,23,29,-0.03073463268365817
2,coex_OVR,28,41,0.20255636070853456
3,coex_LNG,35,35,0.11470588235294121
4,coex_ITI,31,35,0.015120026505225592
5,coex_VGN,22,39,-0.03785968130230444
6,coex_HRV,31,20,0.03978356566397645
7,coex_MSG,38,45,-0.06380610159938005
8,coex_ADV,35,30,-0.23681318681318686
9,coex_EMS,26,31,0.3422625761335438
10,coex_SMU,23,25,0.046268115942029064
11,coex_ARG,22,31,0.23501908924915638
12,coex_TST,25,35,-0.06523809523809532
13,coex_PIT,33,37,0.06500526500526504
14,coex_LVR,32,32,-0.171875
15,coex_THY,23,24,0.27780989824236846
16,coex_PNC,26,32,0.09532493368700257
17,coex_ATC,26,30,0.20897435897435912
18,coex_BRO,35,35,-0.0478991596638656
19,coex_SKN,23,37,0.2653153153153154
20,coex_ADS,24,31,0.6650641025641022
21,coex_GEJ,30,40,0.19074144246558022
22,coex_BRB,28,24,0.02250030446961393
23,coex_UTR,17,22,0.4469198564593304
24,coex_STM,31,33,0.03900904203323563
25,coex_HRA,25,31,0.4142424242424241
26,coex_PRS,28,32,0.1035252463054186
27,coex_ATA,26,29,0.29655172413793096
28,coex_FIB,26,21,-0.023419842568778604
29,coex_BRC,24,27,0.05337690631808267
30,coex_ATT,24,27,0.2327315541601256
31,coex_TNV,24,21,0.48115079365079394
32,coex_SPL,23,28,-0.07767019851418833
33,coex_LCL,16,21,-0.16469594594594605
34,coex_CLS,24,30,0.07824074074074083
35,coex_EMC,27,34,0.11553303053801556
36,coex_CLT,29,33,0.15786625655046715
37,coex_core,34,43,0.1287368901048791
38,coex_WBL,30,30,-0.16666666666666674
39,co-essential,9,6,1.382478632478632
40,GOBP,12,20,2.5850389863547756
41,ppi,50,50,0.08000000000000007
42,reactome_copathway,25,20,0.44354066985645924
43,MP,11,16,2.1934782608695658
44,HP,12,33,0.8467171717171718
45,GI_net,22,25,0.1711655592469543
46,gene_gene_on_CbG_name_mapped,14,6,-0.14047619047619042
47,gene_gene_on_GcG_name_mapped,29,30,0.11758231053964563
48,GOMF,2,2,
