,Layer,Primary_dilated_cardiomyopathy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,31,29,0.1746178881885223
1,coex_BST,21,19,0.2792397660818713
2,coex_OVR,24,21,0.13829365079365097
3,coex_LNG,25,31,0.6614305750350629
4,coex_ITI,27,24,0.11015795206971668
5,coex_VGN,28,25,0.01571428571428557
6,coex_HRV,40,16,0.24031862745098054
7,coex_MSG,44,26,0.009365634365634312
8,coex_ADV,20,20,0.1114864864864864
9,coex_EMS,34,22,0.568306180823281
10,coex_SMU,36,19,0.5925925925925928
11,coex_ARG,21,22,0.1425324675324675
12,coex_TST,30,24,-0.186574074074074
13,coex_PIT,26,25,0.3387330316742081
14,coex_LVR,18,33,0.16972046041813482
15,coex_THY,31,19,0.9156124815517606
16,coex_PNC,16,21,-0.05476190476190457
17,coex_ATC,38,22,0.3335725677830941
18,coex_BRO,27,24,0.4294662309368191
19,coex_SKN,24,18,0.13690476190476142
20,coex_ADS,21,16,0.08263888888888893
21,coex_GEJ,24,19,0.35897435897435903
22,coex_BRB,21,15,0.6952380952380954
23,coex_UTR,22,21,0.25785261250377545
24,coex_STM,29,26,0.10659512900892221
25,coex_HRA,43,19,0.31863228965136026
26,coex_PRS,43,27,0.1270254854683568
27,coex_ATA,19,17,0.4425524595803232
28,coex_FIB,17,17,0.1874442959001783
29,coex_BRC,30,23,0.35144927536231885
30,coex_ATT,29,17,0.539964392803598
31,coex_TNV,26,15,0.6785714285714288
32,coex_SPL,23,38,1.1699177438307873
33,coex_LCL,24,16,0.32797619047619064
34,coex_CLS,28,24,0.24768518518518512
35,coex_EMC,19,26,0.3680754418880219
36,coex_CLT,24,24,0.25
37,coex_core,41,32,0.5758620259013649
38,coex_WBL,34,34,1.6374883286647992
39,co-essential,11,11,0.40909090909090917
40,GOBP,23,28,1.7447552447552446
41,ppi,49,50,0.28503195217480926
42,reactome_copathway,17,10,0.8937908496732025
43,MP,25,15,2.8676190476190473
44,HP,38,22,1.2933014354066987
45,GI_net,17,16,-0.005070993914807476
46,gene_gene_on_CbG_name_mapped,11,15,0.1797202797202797
47,gene_gene_on_GcG_name_mapped,27,32,0.13260161644695523
48,GOMF,2,2,
