,Layer,Atherosclerosis nodes,Coarctation_of_aorta nodes,sAB
0,coex_KDN,40,48,0.29981763925729465
1,coex_BST,22,40,0.8847507331378299
2,coex_OVR,24,45,0.3372833191247513
3,coex_LNG,30,43,0.8009222133119489
4,coex_ITI,33,47,0.5017811089619602
5,coex_VGN,27,46,0.4338509316770187
6,coex_HRV,30,16,0.5640398550724637
7,coex_MSG,40,44,0.26369047619047636
8,coex_ADV,26,44,1.0996706192358368
9,coex_EMS,22,41,0.6474706744868035
10,coex_SMU,26,38,0.6065365025466893
11,coex_ARG,25,39,0.9730119607168786
12,coex_TST,33,46,0.4279114757925986
13,coex_PIT,38,40,0.7671727395411605
14,coex_LVR,43,38,0.8573409190504253
15,coex_THY,25,39,1.2798014888337468
16,coex_PNC,27,39,0.7465287149497679
17,coex_ATC,25,43,0.6669203664552501
18,coex_BRO,30,41,0.9840948127791138
19,coex_SKN,25,44,0.606060606060606
20,coex_ADS,29,26,1.015835543766578
21,coex_GEJ,29,42,0.9482091982091982
22,coex_BRB,29,22,0.7551020408163267
23,coex_UTR,14,40,0.9816798941798943
24,coex_STM,33,41,0.6917960088691797
25,coex_HRA,31,39,0.5950486295313884
26,coex_PRS,24,44,0.6304112554112553
27,coex_ATA,26,32,0.9248028673835123
28,coex_FIB,18,38,0.31153426153426156
29,coex_BRC,31,38,0.5506930542533512
30,coex_ATT,27,41,0.7380487804878051
31,coex_TNV,29,15,0.9598087098087098
32,coex_SPL,24,43,0.49425498667156886
33,coex_LCL,17,37,0.38494390617032126
34,coex_CLS,32,41,0.979956896551724
35,coex_EMC,23,43,0.5420381775285719
36,coex_CLT,26,43,0.9474955277280857
37,coex_core,41,45,0.8472222222222223
38,coex_WBL,32,33,0.9525252525252523
39,co-essential,10,16,1.5486111111111112
40,GOBP,14,15,1.3046296296296296
41,ppi,50,50,0.1200000000000001
42,reactome_copathway,32,15,0.874137931034483
43,MP,12,9,1.212121212121212
44,HP,18,29,0.5730618733186597
45,GI_net,18,26,0.016258023781963615
46,gene_gene_on_CbG_name_mapped,18,2,0.31666666666666643
47,gene_gene_on_GcG_name_mapped,34,38,-0.026788785689714656
48,GOMF,4,6,
