,Layer,Nephroblastoma nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,45,27,0.22222222222222232
1,coex_BST,37,25,0.3283697632058289
2,coex_OVR,39,23,0.06109972309130818
3,coex_LNG,41,24,0.022037210756722825
4,coex_ITI,44,27,0.09902428036230848
5,coex_VGN,46,24,0.19800724637681144
6,coex_HRV,16,10,1.0318538647342996
7,coex_MSG,45,26,0.12936679908510906
8,coex_ADV,34,20,0.4809368191721133
9,coex_EMS,37,15,0.13104575163398668
10,coex_SMU,38,19,-0.06140350877192979
11,coex_ARG,34,20,0.36639433551198275
12,coex_TST,46,28,0.05751636729897602
13,coex_PIT,40,28,0.09937264228309006
14,coex_LVR,38,18,0.21052631578947367
15,coex_THY,33,21,0.5603655603655602
16,coex_PNC,39,20,0.10822468491960047
17,coex_ATC,42,21,0.21031746031746046
18,coex_BRO,36,28,0.3253968253968256
19,coex_SKN,41,22,0.15586175342272934
20,coex_ADS,23,19,0.5010445227836531
21,coex_GEJ,40,16,0.30998427672955975
22,coex_BRB,13,20,0.306896551724138
23,coex_UTR,35,18,0.1613357292602573
24,coex_STM,43,19,0.03358076361195561
25,coex_HRA,37,16,0.22555456399796037
26,coex_PRS,39,23,0.2695094760312151
27,coex_ATA,33,18,0.8098845598845599
28,coex_FIB,36,16,0.060096153846153744
29,coex_BRC,34,26,0.08129713423831042
30,coex_ATT,37,21,0.2600250626566418
31,coex_TNV,19,15,0.6155830753353975
32,coex_SPL,42,20,0.07031490015360986
33,coex_LCL,30,15,-0.1499999999999999
34,coex_CLS,37,24,0.31239502214078474
35,coex_EMC,42,21,0.2784562211981567
36,coex_CLT,44,29,0.30220429158020234
37,coex_core,42,22,0.03862283549783552
38,coex_WBL,33,18,-0.011437908496732208
39,co-essential,24,3,1.4400000000000004
40,GOBP,9,28,1.0879629629629628
41,ppi,48,50,0.22755952380952382
42,reactome_copathway,13,10,2.1105769230769234
43,MP,12,27,1.4798731734215602
44,HP,27,34,0.7791974713382621
45,GI_net,28,17,0.06966079114572654
46,gene_gene_on_CbG_name_mapped,2,11,1.3881118881118881
47,gene_gene_on_GcG_name_mapped,33,37,-0.010869310869310977
48,GOMF,3,6,
