,Layer,Infection_of_bone nodes,Pneumonia nodes,sAB
0,coex_KDN,30,36,-0.30555555555555536
1,coex_BST,19,23,0.4783456225103824
2,coex_OVR,18,28,0.0981481481481481
3,coex_LNG,20,35,-0.064545980335454
4,coex_ITI,20,31,-0.49048528579513295
5,coex_VGN,16,22,0.24526515151515182
6,coex_HRV,17,31,-0.22153629067819036
7,coex_MSG,24,38,-0.20716610073571018
8,coex_ADV,34,35,0.1971988795518207
9,coex_EMS,27,26,0.05754985754985742
10,coex_SMU,12,23,-0.5219716345036041
11,coex_ARG,11,22,0.16666666666666652
12,coex_TST,14,25,-0.18969111969111974
13,coex_PIT,19,33,-0.23464114832535898
14,coex_LVR,27,32,-0.11545629315756445
15,coex_THY,9,23,0.01674263674614318
16,coex_PNC,30,26,0.589486375693272
17,coex_ATC,16,26,-0.5487637362637361
18,coex_BRO,13,35,-0.3092032967032967
19,coex_SKN,15,23,0.030303030303030276
20,coex_ADS,24,24,1.375
21,coex_GEJ,20,30,-0.4066848154869933
22,coex_BRB,11,28,-0.16428571428571415
23,coex_UTR,6,17,0.5919642857142855
24,coex_STM,22,31,0.18495601173020537
25,coex_HRA,18,25,-0.13618243243243233
26,coex_PRS,12,28,-0.06240601503759424
27,coex_ATA,28,26,-0.07671957671957674
28,coex_FIB,6,26,0.06330128205128216
29,coex_BRC,8,24,-0.5867895545314901
30,coex_ATT,26,24,0.08777777777777773
31,coex_TNV,31,24,0.2300106276569145
32,coex_SPL,25,23,0.37913043478260855
33,coex_LCL,7,16,-0.2125388198757765
34,coex_CLS,17,24,0.06417698658410753
35,coex_EMC,15,27,-0.02592592592592613
36,coex_CLT,16,29,-0.23891941391941374
37,coex_core,41,34,-0.12165775401069534
38,coex_WBL,24,30,0.2226851851851852
39,co-essential,7,9,0.5555555555555558
40,GOBP,23,12,1.3650000000000002
41,ppi,47,50,0.02550559333187108
42,reactome_copathway,16,25,0.34561403508771926
43,MP,13,11,-0.23102766798418983
44,HP,12,12,0.375
45,GI_net,15,22,0.014285714285714235
46,gene_gene_on_CbG_name_mapped,14,14,-0.3571428571428572
47,gene_gene_on_GcG_name_mapped,29,29,-0.2068965517241379
48,GOMF,6,2,
