,Layer,Fibrosarcoma nodes,Diabetes_mellitus_type_1 nodes,sAB
0,coex_KDN,46,39,0.21564364876385334
1,coex_BST,26,16,0.44906135531135494
2,coex_OVR,36,21,0.15737259816207194
3,coex_LNG,36,24,0.20885093167701863
4,coex_ITI,43,31,0.3307718821597292
5,coex_VGN,38,28,0.6962406015037597
6,coex_HRV,37,17,-0.12130040695523481
7,coex_MSG,42,26,0.32967032967032983
8,coex_ADV,27,22,-0.02643097643097647
9,coex_EMS,26,21,0.7317824019951678
10,coex_SMU,34,18,-0.015115864527629252
11,coex_ARG,30,17,0.3015227367542761
12,coex_TST,42,22,-0.035511363636363535
13,coex_PIT,40,26,0.32716346153846154
14,coex_LVR,41,33,0.38518008030203155
15,coex_THY,36,25,0.6116101694915255
16,coex_PNC,33,26,0.30766267630674404
17,coex_ATC,34,24,0.5231152805949968
18,coex_BRO,38,24,0.39151810979060575
19,coex_SKN,39,21,0.5704716336295284
20,coex_ADS,40,23,0.11452152335742793
21,coex_GEJ,28,20,0.564515455304929
22,coex_BRB,34,20,0.3227668845315903
23,coex_UTR,28,10,0.942792792792793
24,coex_STM,43,29,0.13642742582197265
25,coex_HRA,39,19,0.3761521702698176
26,coex_PRS,32,21,0.49471153846153815
27,coex_ATA,35,28,0.45638623671410583
28,coex_FIB,32,8,0.16554054054054035
29,coex_BRC,38,18,0.4956140350877196
30,coex_ATT,38,26,0.7012934362934367
31,coex_TNV,32,21,0.12139423076923084
32,coex_SPL,31,31,0.24193548387096775
33,coex_LCL,23,11,0.3654377880184332
34,coex_CLS,31,28,0.10138248847926246
35,coex_EMC,33,19,0.49808114035087714
36,coex_CLT,38,24,0.20265654999261562
37,coex_core,44,34,0.4657444005270093
38,coex_WBL,37,29,0.9266288231805473
39,co-essential,8,8,0.7197802197802194
40,GOBP,6,17,0.9937500000000004
41,ppi,50,49,0.3216615130900844
42,reactome_copathway,28,23,0.666796066252588
43,MP,6,12,-0.6147727272727277
44,HP,22,30,0.4806722689075631
45,GI_net,19,18,0.21212121212121193
46,gene_gene_on_CbG_name_mapped,17,16,0.06032754010695185
47,gene_gene_on_GcG_name_mapped,33,28,-0.1605634802356115
48,GOMF,2,9,
