,Layer,Cholelithiasis nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,30,42,0.08055555555555549
1,coex_BST,22,18,0.40227272727272734
2,coex_OVR,20,22,0.07413419913419927
3,coex_LNG,28,32,0.24724782386072697
4,coex_ITI,27,38,0.11148597990703246
5,coex_VGN,24,25,0.24514492753623207
6,coex_HRV,19,17,0.2963815789473685
7,coex_MSG,25,23,0.02782608695652189
8,coex_ADV,20,26,0.617948717948718
9,coex_EMS,22,19,0.25361769167930914
10,coex_SMU,21,19,-0.07406015037593994
11,coex_ARG,22,18,0.098232323232323
12,coex_TST,26,24,0.20467948717948725
13,coex_PIT,24,26,0.13865384615384624
14,coex_LVR,32,30,0.10520833333333313
15,coex_THY,21,29,0.9931972789115648
16,coex_PNC,19,20,0.0905870445344128
17,coex_ATC,21,25,0.1569358178053828
18,coex_BRO,22,23,0.04143610013175225
19,coex_SKN,22,23,0.3696616215174011
20,coex_ADS,16,24,0.3788461538461543
21,coex_GEJ,19,22,0.3834586466165413
22,coex_BRB,13,18,0.0950226244343888
23,coex_UTR,17,20,0.5552115583075334
24,coex_STM,23,28,0.3086560711241022
25,coex_HRA,21,20,0.04578754578754585
26,coex_PRS,20,25,0.22186046511627922
27,coex_ATA,14,24,0.43201754385964897
28,coex_FIB,17,17,0.3235294117647056
29,coex_BRC,23,24,0.30138888888888893
30,coex_ATT,21,26,0.14249084249084243
31,coex_TNV,17,20,0.4451680672268905
32,coex_SPL,27,36,0.46825396825396814
33,coex_LCL,14,18,0.2889880952380952
34,coex_CLS,26,35,0.06796423915067962
35,coex_EMC,26,25,0.44322422258592487
36,coex_CLT,24,30,0.29326923076923084
37,coex_core,27,35,0.5845782757547462
38,coex_WBL,24,32,0.9352678571428572
39,co-essential,4,4,0.625
40,GOBP,32,20,1.6332720588235294
41,ppi,48,50,0.2552976190476193
42,reactome_copathway,15,21,0.4629310344827584
43,MP,13,19,1.7286184210526319
44,HP,20,19,0.5381241565452091
45,GI_net,12,20,0.6083333333333336
46,gene_gene_on_CbG_name_mapped,19,15,-0.03663570691434459
47,gene_gene_on_GcG_name_mapped,29,33,-0.06411163919506535
48,GOMF,4,4,
