,Layer,Migraine nodes,Rheumatoid_arthritis nodes,sAB
0,coex_KDN,39,43,0.40801663830591783
1,coex_BST,26,22,0.3925205229553057
2,coex_OVR,29,30,0.32236508864211944
3,coex_LNG,28,41,0.6735834715312325
4,coex_ITI,33,40,0.6437451437451438
5,coex_VGN,34,40,0.35190024005268405
6,coex_HRV,22,29,0.6876728747925505
7,coex_MSG,35,36,0.5507824726134585
8,coex_ADV,30,27,0.8215488215488214
9,coex_EMS,25,28,0.26571428571428557
10,coex_SMU,27,31,0.2369299221357064
11,coex_ARG,26,27,0.2965466448445171
12,coex_TST,37,34,0.31257977115475044
13,coex_PIT,33,34,0.10387234948253377
14,coex_LVR,27,32,0.2718239956057753
15,coex_THY,28,36,0.790426587301587
16,coex_PNC,25,34,0.46379860418743757
17,coex_ATC,34,39,0.6427251290548721
18,coex_BRO,39,35,0.49290169290169294
19,coex_SKN,29,30,0.1034482758620694
20,coex_ADS,29,35,0.61551724137931
21,coex_GEJ,25,29,0.5870498084291187
22,coex_BRB,31,28,0.604272778720996
23,coex_UTR,25,18,1.0596205962059622
24,coex_STM,34,35,0.742522226281817
25,coex_HRA,27,29,0.5704427473295399
26,coex_PRS,28,28,0.6157407407407409
27,coex_ATA,30,39,0.7040691192865105
28,coex_FIB,19,18,-0.10316895843211604
29,coex_BRC,33,26,0.28371063964284304
30,coex_ATT,32,37,0.7069721524180728
31,coex_TNV,24,23,0.6553731113166821
32,coex_SPL,27,40,0.4378800442233275
33,coex_LCL,9,23,-0.05474095796676437
34,coex_CLS,28,32,0.364685960591133
35,coex_EMC,27,34,0.5590824672309727
36,coex_CLT,29,35,1.0183805418719212
37,coex_core,34,43,0.5749671447345865
38,coex_WBL,15,44,0.49087057010785795
39,co-essential,3,10,3.046153846153846
40,GOBP,16,7,1.452445652173913
41,ppi,50,50,0.32000000000000006
42,reactome_copathway,17,26,1.2701923076923076
43,MP,16,12,2.85748987854251
44,HP,26,24,0.7323717948717947
45,GI_net,16,19,-0.15263157894736823
46,gene_gene_on_CbG_name_mapped,11,9,0.2560606060606059
47,gene_gene_on_GcG_name_mapped,39,34,-0.13168143969916746
48,GOMF,4,8,
