,Layer,Neoplasm_of_esophagus nodes,Fibrosarcoma nodes,sAB
0,coex_KDN,43,46,0.0015998494259363838
1,coex_BST,29,26,0.10377381239450201
2,coex_OVR,35,36,-0.2564192343604108
3,coex_LNG,38,36,-0.08350100603621735
4,coex_ITI,42,43,-0.11801511302195289
5,coex_VGN,34,38,-0.2706828345373238
6,coex_HRV,26,37,-0.051994535519125584
7,coex_MSG,41,42,-0.09691028924058598
8,coex_ADV,24,27,0.0996779388083735
9,coex_EMS,32,26,-0.13934961473161778
10,coex_SMU,33,34,-0.18181818181818188
11,coex_ARG,38,30,-0.27030388597552735
12,coex_TST,43,42,-0.11757865937072509
13,coex_PIT,41,40,-0.16030410620561897
14,coex_LVR,37,41,-0.060324865202914024
15,coex_THY,37,36,-0.0966771566086635
16,coex_PNC,38,33,-0.24248601657793678
17,coex_ATC,41,34,-0.13384170908590654
18,coex_BRO,38,38,-0.26315789473684204
19,coex_SKN,37,39,-0.05278330962541511
20,coex_ADS,32,40,-0.17705511917659789
21,coex_GEJ,27,28,0.06326330532212898
22,coex_BRB,34,34,-0.20588235294117618
23,coex_UTR,25,28,-0.005897435897435965
24,coex_STM,38,43,-0.12212324523626017
25,coex_HRA,30,39,-0.186900780379041
26,coex_PRS,27,32,-0.17034151193633962
27,coex_ATA,32,35,-0.044299450549450725
28,coex_FIB,34,32,-0.1273674242424243
29,coex_BRC,36,38,-0.10386043938675504
30,coex_ATT,36,38,-0.008374571754853566
31,coex_TNV,25,32,-0.19270833333333304
32,coex_SPL,34,31,-0.09394978835206547
33,coex_LCL,18,23,-0.2802197802197801
34,coex_CLS,39,31,-0.01726300585358409
35,coex_EMC,38,33,-0.42156571183859914
36,coex_CLT,39,38,-0.0675766859977387
37,coex_core,40,44,-0.10842572062084255
38,coex_WBL,38,37,0.03008534850640121
39,co-essential,12,8,-0.8
40,GOBP,15,6,-0.11709401709401668
41,ppi,50,50,-0.030000000000000027
42,reactome_copathway,33,28,-0.02937499999999993
43,MP,11,6,-0.7389610389610386
44,HP,19,22,-0.16303258145363397
45,GI_net,31,19,-0.43817204301075274
46,gene_gene_on_CbG_name_mapped,16,17,-0.1792557932263814
47,gene_gene_on_GcG_name_mapped,29,33,-0.22219975056460028
48,GOMF,8,2,
