,Layer,Peritonitis nodes,Gingival_disorder nodes,sAB
0,coex_KDN,40,48,0.15776515151515147
1,coex_BST,31,42,0.2697483323864236
2,coex_OVR,35,42,0.5365800865800869
3,coex_LNG,42,47,0.7162978268046403
4,coex_ITI,39,44,0.10666470223793767
5,coex_VGN,36,42,0.39462627156125607
6,coex_HRV,23,35,0.7777896765902765
7,coex_MSG,41,47,0.24828395527669
8,coex_ADV,32,38,0.5229558270676693
9,coex_EMS,34,39,0.5917116056116862
10,coex_SMU,28,40,0.40168067226890747
11,coex_ARG,34,37,0.4426237161531281
12,coex_TST,39,46,0.228178896976851
13,coex_PIT,36,44,0.1373577972415181
14,coex_LVR,39,43,0.37954680977936794
15,coex_THY,36,43,0.9150779453105033
16,coex_PNC,30,42,0.20357142857142874
17,coex_ATC,38,39,0.27225844331107485
18,coex_BRO,38,42,0.5721491228070175
19,coex_SKN,37,46,0.5380648941624553
20,coex_ADS,32,40,1.4951753791982663
21,coex_GEJ,34,39,0.5343757102419469
22,coex_BRB,25,29,1.234439384081544
23,coex_UTR,30,42,0.190544274900877
24,coex_STM,37,42,0.21429385986348026
25,coex_HRA,33,45,0.5515468779475572
26,coex_PRS,34,45,0.40584512285927055
27,coex_ATA,35,39,0.8720974495622384
28,coex_FIB,30,39,0.27302118171683376
29,coex_BRC,29,42,0.26696963389532624
30,coex_ATT,39,43,0.5047629695885509
31,coex_TNV,22,32,1.2747596153846152
32,coex_SPL,39,45,0.39621489621489636
33,coex_LCL,26,30,0.19395604395604393
34,coex_CLS,35,44,0.5030752193542889
35,coex_EMC,40,43,0.4102210737869654
36,coex_CLT,39,42,0.3205960705960704
37,coex_core,42,48,0.43839285714285703
38,coex_WBL,40,40,0.42564102564102546
39,co-essential,15,15,0.4871794871794872
40,GOBP,17,25,0.28463203463203435
41,ppi,50,46,0.15911231884057986
42,reactome_copathway,23,9,0.5985507246376809
43,MP,11,12,0.6322510822510821
44,HP,18,8,0.16346153846153832
45,GI_net,27,18,0.33893195521102504
46,gene_gene_on_CbG_name_mapped,11,4,0.18484848484848504
47,gene_gene_on_GcG_name_mapped,33,35,0.05178253119429588
48,GOMF,1,6,
