,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Atypical_absence_seizure nodes,sAB
0,coex_KDN,34,35,-0.23502009499451937
1,coex_BST,25,27,-0.06339031339031331
2,coex_OVR,18,30,-0.1709334726576106
3,coex_LNG,27,31,-0.11634326206072587
4,coex_ITI,33,31,-0.12422104105571852
5,coex_VGN,34,32,-0.14786653297682695
6,coex_HRV,16,21,-0.36973133848133855
7,coex_MSG,25,33,-0.18649947753396012
8,coex_ADV,23,26,-0.25882192341819676
9,coex_EMS,28,25,0.34749455337690627
10,coex_SMU,24,24,-0.20833333333333348
11,coex_ARG,30,31,-0.1499999999999999
12,coex_TST,32,36,-0.11519607843137236
13,coex_PIT,35,34,-0.2622457678723662
14,coex_LVR,22,24,-0.3511198945981555
15,coex_THY,23,32,-0.17908653846153832
16,coex_PNC,30,30,-0.15172413793103412
17,coex_ATC,29,28,-0.2286427275084264
18,coex_BRO,45,40,-0.24415584415584424
19,coex_SKN,25,32,-0.3357386363636363
20,coex_ADS,21,26,0.6284606866002216
21,coex_GEJ,29,28,0.2923645320197046
22,coex_BRB,35,34,-0.474662592309651
23,coex_UTR,17,21,-0.08454960931741118
24,coex_STM,29,33,-0.3112043684902417
25,coex_HRA,23,31,-0.07030498033715582
26,coex_PRS,23,27,-0.17610305958132044
27,coex_ATA,25,29,-0.22570666197513445
28,coex_FIB,16,21,-0.06290218790218782
29,coex_BRC,37,39,-0.3834573439836597
30,coex_ATT,26,27,0.09614040746116204
31,coex_TNV,21,21,0.1452380952380956
32,coex_SPL,24,28,-0.184981684981685
33,coex_LCL,11,11,-0.2727272727272727
34,coex_CLS,31,29,-0.06909529106414514
35,coex_EMC,22,28,-0.24298701298701308
36,coex_CLT,30,32,-0.06515456989247315
37,coex_core,32,34,0.17555147058823528
38,coex_WBL,18,20,-0.26428571428571423
39,co-essential,6,3,2.166666666666667
40,GOBP,29,29,-0.1284340659340657
41,ppi,50,47,-0.2592210144927536
42,reactome_copathway,13,7,0.008333333333333304
43,MP,12,15,0.9523809523809526
44,HP,20,24,-0.27727272727272734
45,GI_net,17,14,-0.41549200325291413
46,gene_gene_on_CbG_name_mapped,17,14,-0.39299268094334516
47,gene_gene_on_GcG_name_mapped,38,32,-0.19901315789473673
48,GOMF,6,6,
