,Layer,Sinusitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,41,41,-0.10969963866305332
1,coex_BST,21,17,0.170499778858912
2,coex_OVR,33,20,-0.12427884615384643
3,coex_LNG,43,30,0.3791544150405417
4,coex_ITI,39,36,0.09141025641025657
5,coex_VGN,31,29,0.32242452627675977
6,coex_HRV,28,20,-0.12230576441102725
7,coex_MSG,40,28,0.12554112554112562
8,coex_ADV,31,24,0.5524605003291638
9,coex_EMS,27,22,0.20851370851370854
10,coex_SMU,32,22,0.04512674825174834
11,coex_ARG,28,18,0.037870945479641316
12,coex_TST,38,28,0.00783208020050119
13,coex_PIT,33,26,0.214738651179329
14,coex_LVR,35,32,0.15796703296703285
15,coex_THY,37,30,-0.141644779575814
16,coex_PNC,34,22,-0.10924369747899143
17,coex_ATC,38,24,-0.01768571850539069
18,coex_BRO,36,24,0.2319444444444445
19,coex_SKN,33,28,0.1189393939393939
20,coex_ADS,37,22,0.1096681096681098
21,coex_GEJ,30,23,0.3109145427286357
22,coex_BRB,28,17,0.06830173930037131
23,coex_UTR,23,20,0.3182055749128918
24,coex_STM,37,30,0.16600779884361994
25,coex_HRA,23,27,0.040174081237911
26,coex_PRS,32,26,0.21565934065934078
27,coex_ATA,35,24,0.1360902255639096
28,coex_FIB,20,21,0.01904761904761898
29,coex_BRC,25,22,0.1861616161616162
30,coex_ATT,35,28,0.06733021077283352
31,coex_TNV,22,19,0.28375539736258615
32,coex_SPL,37,35,0.2783247533247537
33,coex_LCL,21,20,0.0570818070818071
34,coex_CLS,29,29,0.056034482758620996
35,coex_EMC,36,30,0.05555555555555558
36,coex_CLT,35,32,0.08823529411764719
37,coex_core,40,37,0.08568840579710146
38,coex_WBL,37,33,0.2259155259155261
39,co-essential,4,2,-1.75
40,GOBP,18,18,1.0229166666666667
41,ppi,49,50,0.23258503401360553
42,reactome_copathway,19,19,0.40225563909774453
43,MP,17,22,0.39925270807623736
44,HP,28,27,0.3423641173641174
45,GI_net,19,25,0.286766917293233
46,gene_gene_on_CbG_name_mapped,11,12,-0.09568511198945973
47,gene_gene_on_GcG_name_mapped,28,33,-0.019453906748988503
48,GOMF,1,8,
