,Layer,Prostate_neoplasm nodes,Lymphoma nodes,sAB
0,coex_KDN,42,48,-0.22495318352059912
1,coex_BST,31,30,-0.11284153005464481
2,coex_OVR,32,38,-0.15056839152579915
3,coex_LNG,42,46,0.19118184810034022
4,coex_ITI,41,46,0.02189758779147022
5,coex_VGN,36,42,0.059676434676434686
6,coex_HRV,26,26,0.09620094191522766
7,coex_MSG,41,46,0.025990053753611075
8,coex_ADV,27,32,-0.08412524366471708
9,coex_EMS,32,36,-0.1959763071895424
10,coex_SMU,34,38,-0.23355122762090885
11,coex_ARG,32,33,0.04477709790209783
12,coex_TST,45,42,-0.09813902572523259
13,coex_PIT,35,41,-0.2366042000188342
14,coex_LVR,37,41,-0.04998056217568414
15,coex_THY,38,40,0.03471659919028358
16,coex_PNC,30,35,-0.017216117216117377
17,coex_ATC,33,44,-0.05757575757575761
18,coex_BRO,37,39,-0.3916092205565891
19,coex_SKN,32,42,-0.2780811396586915
20,coex_ADS,39,35,0.14317394317394339
21,coex_GEJ,32,39,-0.1135592253501041
22,coex_BRB,29,26,-0.2589221123703882
23,coex_UTR,21,30,-0.33444991789819367
24,coex_STM,42,42,0.04761904761904767
25,coex_HRA,34,35,0.20588235294117663
26,coex_PRS,36,37,0.06986271986271975
27,coex_ATA,33,35,-0.018843901196842427
28,coex_FIB,29,36,-0.3234126984126984
29,coex_BRC,35,34,-0.1741079040311777
30,coex_ATT,29,39,-0.15758145363408516
31,coex_TNV,23,21,-0.2864441759790597
32,coex_SPL,29,41,-0.11865913733028965
33,coex_LCL,29,39,-0.19009596641175586
34,coex_CLS,36,39,0.16984126984126968
35,coex_EMC,36,39,0.03723217421847558
36,coex_CLT,40,39,0.176788124156545
37,coex_core,45,45,0.38510101010101017
38,coex_WBL,37,47,-0.14047482132588507
39,co-essential,20,21,0.5678571428571431
40,GOBP,8,8,2.0393772893772897
41,ppi,50,50,-0.020000000000000018
42,reactome_copathway,30,34,0.0812068837623321
43,MP,8,9,-0.125
44,HP,19,32,-0.1399638802889578
45,GI_net,31,32,-0.11097510240655395
46,gene_gene_on_CbG_name_mapped,16,10,0.1677884615384615
47,gene_gene_on_GcG_name_mapped,35,35,-0.2142857142857144
48,GOMF,6,4,
