,Layer,Sepsis nodes,Otitis_media nodes,sAB
0,coex_KDN,39,35,0.16348876348876362
1,coex_BST,19,25,0.13532306375695313
2,coex_OVR,27,26,0.17408482502822142
3,coex_LNG,33,38,0.5935150375939848
4,coex_ITI,34,32,-0.08088235294117663
5,coex_VGN,19,28,0.20746680531115036
6,coex_HRV,33,19,0.23828364617838305
7,coex_MSG,39,41,0.1043699186991871
8,coex_ADV,34,30,0.1420924691715768
9,coex_EMS,24,26,0.041088435374149856
10,coex_SMU,25,22,0.13059947299077734
11,coex_ARG,20,19,0.007692307692307665
12,coex_TST,26,33,0.3187151831219628
13,coex_PIT,32,34,0.04417600373482733
14,coex_LVR,36,27,-0.08928571428571419
15,coex_THY,21,23,0.41498988877654197
16,coex_PNC,29,23,0.120785270629991
17,coex_ATC,28,30,-0.11135531135531118
18,coex_BRO,32,33,0.19085948773448802
19,coex_SKN,23,29,-0.140128465179175
20,coex_ADS,23,23,0.1986166007905137
21,coex_GEJ,30,35,0.46236559139784905
22,coex_BRB,33,29,0.5480668756530824
23,coex_UTR,20,17,0.6988140417457309
24,coex_STM,34,32,0.45618872549019596
25,coex_HRA,31,22,0.377972027972028
26,coex_PRS,26,30,-0.025151515151514925
27,coex_ATA,31,24,0.11034185433150734
28,coex_FIB,23,22,0.2489177489177492
29,coex_BRC,25,24,-0.02544217687074868
30,coex_ATT,22,27,-0.225198412698413
31,coex_TNV,23,16,-0.21022361647361665
32,coex_SPL,32,24,-0.024083577712609827
33,coex_LCL,19,13,0.10069444444444464
34,coex_CLS,28,31,0.3537301104251802
35,coex_EMC,28,32,0.1166666666666667
36,coex_CLT,31,30,0.038888888888889195
37,coex_core,38,36,0.1732506163452454
38,coex_WBL,34,26,0.28587588881706516
39,co-essential,11,10,-0.05627705627705648
40,GOBP,8,16,2.1827731092436977
41,ppi,49,49,0.0
42,reactome_copathway,26,20,0.29894736842105263
43,MP,8,17,0.5318627450980387
44,HP,14,22,0.07047364400305578
45,GI_net,22,21,-0.2142857142857144
46,gene_gene_on_CbG_name_mapped,17,8,0.03102941176470586
47,gene_gene_on_GcG_name_mapped,32,29,-0.18809178914641023
48,GOMF,3,8,
