,Layer,Renal_tubular_acidosis nodes,Cholecystitis nodes,sAB
0,coex_KDN,41,37,0.2678044928044927
1,coex_BST,29,37,-0.016207479030754923
2,coex_OVR,31,33,0.3621700879765395
3,coex_LNG,33,37,0.33887733887733895
4,coex_ITI,30,39,0.045763656633221794
5,coex_VGN,28,33,0.15601841661163696
6,coex_HRV,18,22,0.600118835412953
7,coex_MSG,34,40,-0.15568362480127185
8,coex_ADV,29,29,0.3594664931685103
9,coex_EMS,28,30,0.005068226120857666
10,coex_SMU,28,31,0.2227700538936186
11,coex_ARG,33,28,0.07217261904761885
12,coex_TST,33,36,0.15843214756258228
13,coex_PIT,33,36,0.33598484848484844
14,coex_LVR,29,42,0.3566431070179197
15,coex_THY,26,32,0.12414148351648358
16,coex_PNC,26,36,0.17092415780940406
17,coex_ATC,27,34,0.04164358775525279
18,coex_BRO,28,37,0.11416773916773937
19,coex_SKN,30,36,0.09520202020202029
20,coex_ADS,19,29,0.35753176043557167
21,coex_GEJ,31,34,0.17030360531309308
22,coex_BRB,15,23,-0.0842650103519671
23,coex_UTR,24,26,0.004743589743589904
24,coex_STM,29,34,0.13149167713062226
25,coex_HRA,31,36,0.4003584229390682
26,coex_PRS,28,36,0.06225198412698418
27,coex_ATA,29,34,0.33086820586820576
28,coex_FIB,26,29,-0.038642392090668
29,coex_BRC,30,34,0.002022058823529349
30,coex_ATT,29,34,-0.0328533900841288
31,coex_TNV,11,23,0.3424242424242423
32,coex_SPL,32,34,0.12288324420677355
33,coex_LCL,25,23,0.20775516497070612
34,coex_CLS,28,37,0.1292768042768042
35,coex_EMC,29,36,0.10317460317460303
36,coex_CLT,30,36,0.11818181818181794
37,coex_core,38,37,0.21824533511840016
38,coex_WBL,36,33,0.16792929292929304
39,co-essential,18,12,0.9384920634920633
40,GOBP,37,24,1.7184343434343434
41,ppi,49,49,0.3265306122448981
42,reactome_copathway,15,16,1.0352564102564104
43,MP,21,17,0.6839285714285714
44,HP,36,23,0.5803958896258083
45,GI_net,18,22,-0.0659340659340657
46,gene_gene_on_CbG_name_mapped,17,14,0.16284901057197065
47,gene_gene_on_GcG_name_mapped,31,31,-0.016129032258064502
48,GOMF,13,9,2.4
