,Layer,Osteomyelitis nodes,Cholangitis nodes,sAB
0,coex_KDN,42,42,0.09291521486643428
1,coex_BST,27,25,0.6597174254317113
2,coex_OVR,29,26,0.05423902707572248
3,coex_LNG,41,30,0.427478448275862
4,coex_ITI,39,35,0.35827145827145834
5,coex_VGN,31,28,0.24168283612256447
6,coex_HRV,26,25,0.8272340425531914
7,coex_MSG,39,32,0.32297873781148434
8,coex_ADV,30,28,0.6157509157509158
9,coex_EMS,28,23,0.4302307879673606
10,coex_SMU,26,28,0.5961538461538458
11,coex_ARG,32,21,0.48914565826330514
12,coex_TST,31,32,-0.1722830261136714
13,coex_PIT,29,32,0.15062575620084706
14,coex_LVR,33,31,0.10991903481822818
15,coex_THY,33,27,0.7728853067836123
16,coex_PNC,28,25,0.16909703504043128
17,coex_ATC,37,22,0.314560972455709
18,coex_BRO,31,25,0.2805299539170507
19,coex_SKN,29,26,0.4875336927223721
20,coex_ADS,31,28,0.9742501414827389
21,coex_GEJ,31,28,0.6736772486772487
22,coex_BRB,26,21,0.5085924713584289
23,coex_UTR,24,19,-0.005434782608695343
24,coex_STM,31,33,0.08854166666666652
25,coex_HRA,26,27,0.5169230769230768
26,coex_PRS,24,26,0.10489795918367362
27,coex_ATA,30,21,0.6561624649859947
28,coex_FIB,18,19,0.33333333333333304
29,coex_BRC,24,29,0.4852941176470593
30,coex_ATT,27,23,0.6143317230273753
31,coex_TNV,23,20,0.48824570273003065
32,coex_SPL,36,23,0.12870080111459425
33,coex_LCL,22,19,0.0965218991534782
34,coex_CLS,37,30,0.5182666432666434
35,coex_EMC,33,21,0.005048076923077183
36,coex_CLT,38,32,0.5599825299574324
37,coex_core,42,38,0.5162568583621214
38,coex_WBL,39,28,0.28541760383865666
39,co-essential,5,11,0.29772727272727284
40,GOBP,25,24,1.1207792207792209
41,ppi,50,48,0.3348979591836734
42,reactome_copathway,18,17,0.662288647342995
43,MP,12,17,-0.2486263736263732
44,HP,36,21,0.21042188805346695
45,GI_net,18,18,0.009803921568626972
46,gene_gene_on_CbG_name_mapped,14,13,0.15445665445665457
47,gene_gene_on_GcG_name_mapped,28,30,-0.06769293924466324
48,GOMF,8,6,
