,Layer,Dermatitis nodes,Enterocolitis nodes,sAB
0,coex_KDN,32,43,-0.1688372093023256
1,coex_BST,19,17,-0.15849673202614367
2,coex_OVR,23,34,0.07533408620365134
3,coex_LNG,34,41,0.09579831932773097
4,coex_ITI,26,36,-0.08684921635741305
5,coex_VGN,23,31,0.24480448455017756
6,coex_HRV,25,30,-0.08874213836477973
7,coex_MSG,32,41,-0.011187562646174376
8,coex_ADV,22,41,-0.16376306620209058
9,coex_EMS,23,30,0.09901558654634979
10,coex_SMU,25,30,-0.09666666666666646
11,coex_ARG,23,33,-0.10151515151515156
12,coex_TST,30,38,-0.24695562435500507
13,coex_PIT,26,35,-0.08439920735002704
14,coex_LVR,29,41,-0.2750690856662261
15,coex_THY,24,33,-0.06459330143540676
16,coex_PNC,22,34,0.025401069518716568
17,coex_ATC,23,39,-0.3708958175998851
18,coex_BRO,28,36,-0.1595664789213176
19,coex_SKN,29,31,-0.0450129773822765
20,coex_ADS,27,31,0.2390838206627679
21,coex_GEJ,27,38,-0.13368055555555536
22,coex_BRB,21,31,-0.30922824302134644
23,coex_UTR,12,18,0.6279761904761902
24,coex_STM,28,35,-0.13174603174603172
25,coex_HRA,23,29,-0.08939227865059074
26,coex_PRS,25,31,-0.00657108721624855
27,coex_ATA,19,40,-0.04366636931311296
28,coex_FIB,17,18,-0.3479925303454714
29,coex_BRC,22,24,-0.18478260869565233
30,coex_ATT,24,32,-0.05202403542062006
31,coex_TNV,23,27,0.2677632926080129
32,coex_SPL,19,35,-0.1719576719576721
33,coex_LCL,13,26,-0.1912955465587045
34,coex_CLS,25,31,0.33728118019843123
35,coex_EMC,30,31,-0.25691509084167596
36,coex_CLT,25,32,-0.0254629629629628
37,coex_core,32,43,-0.051947674418604706
38,coex_WBL,27,40,-0.28940713101160864
39,co-essential,11,5,-0.4615384615384617
40,GOBP,19,20,-0.051841948900772206
41,ppi,49,50,-0.14054421768707503
42,reactome_copathway,25,24,-0.1221532091097306
43,MP,15,21,0.5
44,HP,17,19,0.026401788785689773
45,GI_net,21,21,-0.4086080586080585
46,gene_gene_on_CbG_name_mapped,12,12,-0.29166666666666674
47,gene_gene_on_GcG_name_mapped,28,33,-0.23900007096728415
48,GOMF,6,3,
