,Layer,Benign_Neonatal_Epilepsy nodes,Essential_tremor nodes,sAB
0,coex_KDN,29,38,0.08596310642793292
1,coex_BST,27,30,0.5490253411306045
2,coex_OVR,18,29,0.38905192793674104
3,coex_LNG,22,30,0.4491841491841493
4,coex_ITI,37,38,0.3602939781887151
5,coex_VGN,37,38,0.33571834992887606
6,coex_HRV,21,15,-0.03888888888888875
7,coex_MSG,26,35,0.1442172581516843
8,coex_ADV,22,26,0.7562645687645686
9,coex_EMS,27,26,0.26479600064505693
10,coex_SMU,16,25,0.4077743902439024
11,coex_ARG,29,29,0.1785930343099127
12,coex_TST,35,37,0.22634062634062646
13,coex_PIT,31,30,0.13068922968447017
14,coex_LVR,15,30,0.2891472868217053
15,coex_THY,22,31,0.34133876875812375
16,coex_PNC,31,30,-0.058399435924554766
17,coex_ATC,24,31,0.48703703703703694
18,coex_BRO,43,43,0.33720930232558133
19,coex_SKN,28,30,0.4571428571428571
20,coex_ADS,29,24,0.4370601688951439
21,coex_GEJ,29,30,0.507518796992481
22,coex_BRB,38,26,0.33811993927125505
23,coex_UTR,17,24,0.6458333333333335
24,coex_STM,32,37,0.22172931945227958
25,coex_HRA,22,31,0.2889254689315557
26,coex_PRS,19,28,0.1342585186370182
27,coex_ATA,21,25,0.458181818181818
28,coex_FIB,8,27,0.1878968253968254
29,coex_BRC,42,41,0.12195121951219501
30,coex_ATT,22,32,0.6326330532212885
31,coex_TNV,30,21,0.26806722689075624
32,coex_SPL,12,30,0.16666666666666696
33,coex_LCL,4,20,0.5727272727272728
34,coex_CLS,36,37,0.2905611090542597
35,coex_EMC,20,30,0.5916666666666668
36,coex_CLT,33,37,0.1509253819036429
37,coex_core,38,37,0.5854812707444288
38,coex_WBL,13,27,0.2564102564102564
39,co-essential,6,12,0.21153846153846168
40,GOBP,26,16,0.5901610644257702
41,ppi,50,49,0.18266336837765418
42,reactome_copathway,13,11,0.27272727272727293
43,MP,14,16,2.227564102564102
44,HP,15,18,0.18535353535353516
45,GI_net,14,20,0.3125
46,gene_gene_on_CbG_name_mapped,13,9,-0.13092463092463102
47,gene_gene_on_GcG_name_mapped,35,29,0.160975985221675
48,GOMF,6,0,
