,Layer,Huntington_disease nodes,Muscle_spasm nodes,sAB
0,coex_KDN,41,42,-0.08463470607167345
1,coex_BST,31,34,0.26545759743103203
2,coex_OVR,28,38,0.0579004329004329
3,coex_LNG,34,35,0.07516745828766291
4,coex_ITI,40,41,0.04849819331526661
5,coex_VGN,30,37,0.21423288960602394
6,coex_HRV,22,16,0.11363636363636331
7,coex_MSG,39,39,-0.02564102564102555
8,coex_ADV,29,35,0.32333037228458394
9,coex_EMS,35,35,0.21824990865911587
10,coex_SMU,25,36,0.20577485380116944
11,coex_ARG,32,39,0.1214987458193979
12,coex_TST,31,40,0.2300034075420263
13,coex_PIT,32,40,-0.07465277777777768
14,coex_LVR,32,38,0.047310371517027994
15,coex_THY,32,30,0.3875653082549637
16,coex_PNC,28,36,0.10887896825396837
17,coex_ATC,31,38,0.3604747162022708
18,coex_BRO,35,34,0.014693703568383842
19,coex_SKN,36,37,0.14146644573322265
20,coex_ADS,29,27,0.44093406593406614
21,coex_GEJ,37,36,0.20833333333333304
22,coex_BRB,23,21,0.024844720496894013
23,coex_UTR,26,36,0.28584229390681015
24,coex_STM,33,40,0.2760066417600666
25,coex_HRA,31,36,0.20934139784946248
26,coex_PRS,27,37,0.16615516615516612
27,coex_ATA,30,32,0.4179847311513738
28,coex_FIB,26,35,0.06940190956584424
29,coex_BRC,33,35,0.16438757321110264
30,coex_ATT,31,36,0.34623923393783773
31,coex_TNV,25,19,0.46382352941176475
32,coex_SPL,28,36,0.18799603174603163
33,coex_LCL,25,32,0.10495730550284632
34,coex_CLS,35,38,0.32674467859790335
35,coex_EMC,33,37,0.23003393003393002
36,coex_CLT,34,40,0.08769206145966701
37,coex_core,38,40,0.22759301509301522
38,coex_WBL,33,33,0.13636363636363624
39,co-essential,10,14,0.12040133779264206
40,GOBP,12,24,0.46022727272727293
41,ppi,50,49,0.08104926819212532
42,reactome_copathway,15,14,0.027472527472527375
43,MP,16,13,0.5024038461538463
44,HP,18,33,0.24346405228758172
45,GI_net,16,26,0.2598684210526314
46,gene_gene_on_CbG_name_mapped,11,9,0.12929292929292946
47,gene_gene_on_GcG_name_mapped,33,31,0.06517289833822093
48,GOMF,8,3,
