,Layer,Pulmonary_fibrosis nodes,Autoimmune_disease nodes,sAB
0,coex_KDN,42,39,-0.2091303757970424
1,coex_BST,23,20,-0.31936299292214354
2,coex_OVR,30,22,-0.12382445141065812
3,coex_LNG,36,33,0.010370748795796025
4,coex_ITI,35,33,-0.12393684746625921
5,coex_VGN,29,24,-0.1842038539553752
6,coex_HRV,32,30,-0.3031586021505377
7,coex_MSG,39,30,-0.0181716833890746
8,coex_ADV,31,22,-0.3048564338886921
9,coex_EMS,28,19,-0.2327427611582149
10,coex_SMU,25,28,-0.3124999999999998
11,coex_ARG,21,17,-0.1505791505791505
12,coex_TST,34,28,-0.043369881484635275
13,coex_PIT,33,30,-0.2299107142857142
14,coex_LVR,35,32,-0.107864010989011
15,coex_THY,28,32,0.0010006157635467083
16,coex_PNC,29,20,-0.28747361013370876
17,coex_ATC,30,25,-0.11679245283018869
18,coex_BRO,29,28,-0.10426929392446627
19,coex_SKN,28,27,-0.32935310876487334
20,coex_ADS,29,27,-0.41724386724386764
21,coex_GEJ,34,25,-0.32575757575757613
22,coex_BRB,23,25,-0.16260869565217395
23,coex_UTR,17,15,-0.4278186274509803
24,coex_STM,34,31,0.0035688220697709383
25,coex_HRA,31,26,0.34253285543608136
26,coex_PRS,30,23,-0.1824242424242426
27,coex_ATA,28,25,-0.4305982905982906
28,coex_FIB,26,18,-0.22503419972640226
29,coex_BRC,27,28,-0.25142450142450157
30,coex_ATT,26,26,-0.2435897435897436
31,coex_TNV,26,21,-0.5002727768685213
32,coex_SPL,23,27,0.21655518394648832
33,coex_LCL,17,24,-0.22916666666666674
34,coex_CLS,29,26,-0.2955557779890896
35,coex_EMC,33,25,-0.327406609195402
36,coex_CLT,34,29,-0.2619846000993542
37,coex_core,37,37,0.0035317007147992463
38,coex_WBL,27,36,-0.2255291005291007
39,co-essential,14,9,-0.21497584541062809
40,GOBP,9,13,0.7557997557997558
41,ppi,50,50,-0.21999999999999997
42,reactome_copathway,27,20,-0.14975609756097574
43,MP,13,21,0.6291866028708135
44,HP,20,21,0.0447444831591175
45,GI_net,21,17,-0.4207946336429307
46,gene_gene_on_CbG_name_mapped,14,12,-0.26923076923076916
47,gene_gene_on_GcG_name_mapped,31,30,-0.5234972677595628
48,GOMF,3,6,
