,Layer,Chorea nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,42,31,0.07196286649302097
1,coex_BST,40,21,0.1616471734892786
2,coex_OVR,37,24,0.01920875793826604
3,coex_LNG,40,25,0.10480769230769216
4,coex_ITI,45,27,0.1787037037037036
5,coex_VGN,41,28,0.2522700876359414
6,coex_HRV,19,40,-0.01847680642283711
7,coex_MSG,44,44,0.022727272727272707
8,coex_ADV,33,20,-0.15305889079473944
9,coex_EMS,40,34,0.6179604628736741
10,coex_SMU,37,36,0.029104446912666004
11,coex_ARG,38,21,0.557486388384755
12,coex_TST,47,30,-0.0024730588560375466
13,coex_PIT,45,26,0.027494883832911876
14,coex_LVR,33,18,0.15359477124182996
15,coex_THY,37,31,0.8755169561621177
16,coex_PNC,36,16,0.3663398692810462
17,coex_ATC,38,38,0.5526315789473686
18,coex_BRO,42,27,0.08080285254198305
19,coex_SKN,41,24,0.05586303939962489
20,coex_ADS,33,21,0.616465677179963
21,coex_GEJ,44,24,0.4446248196248197
22,coex_BRB,26,21,0.06441430909516033
23,coex_UTR,31,22,0.06458529297847626
24,coex_STM,43,29,-0.02542769313017934
25,coex_HRA,40,43,0.21213925469319128
26,coex_PRS,39,43,0.20840787119856907
27,coex_ATA,36,19,0.09360712387028158
28,coex_FIB,27,17,0.16166567637155893
29,coex_BRC,44,30,0.019268774703557146
30,coex_ATT,39,29,0.31406691195345227
31,coex_TNV,21,26,0.24436090225563945
32,coex_SPL,35,23,0.020496894409937738
33,coex_LCL,26,24,0.13644308943089434
34,coex_CLS,39,28,0.18823768823768816
35,coex_EMC,39,19,0.23320320030846342
36,coex_CLT,42,24,0.22294372294372278
37,coex_core,43,41,0.5595575723199093
38,coex_WBL,35,34,0.7245010504201681
39,co-essential,13,11,0.7721445221445222
40,GOBP,23,23,1.3185064935064936
41,ppi,50,49,0.2545269016697589
42,reactome_copathway,16,17,0.8959276018099547
43,MP,17,25,-0.15942073170731685
44,HP,26,38,0.3945470647773279
45,GI_net,21,17,0.24766573295985084
46,gene_gene_on_CbG_name_mapped,8,11,0.19976076555023936
47,gene_gene_on_GcG_name_mapped,38,27,0.03176638176638158
48,GOMF,3,2,
