,Layer,Acute_febrile_mucocutaneous_lymph_node_syndrome nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,36,27,0.023809523809523725
1,coex_BST,21,25,0.1888888888888891
2,coex_OVR,31,23,0.3568905511402005
3,coex_LNG,39,24,0.4842600452744765
4,coex_ITI,36,27,0.050264550264550456
5,coex_VGN,36,24,0.022749042145593812
6,coex_HRV,25,10,0.15307189542483668
7,coex_MSG,37,26,0.15400290400290406
8,coex_ADV,32,20,0.6286057692307692
9,coex_EMS,29,15,0.42710409745293454
10,coex_SMU,28,19,-0.013817789153735216
11,coex_ARG,27,20,0.5911544523246652
12,coex_TST,33,28,-0.015923284365907175
13,coex_PIT,34,28,0.12411900243968543
14,coex_LVR,35,18,0.14231805929919172
15,coex_THY,26,21,-0.030628945522562567
16,coex_PNC,26,20,0.1587792642140471
17,coex_ATC,36,21,0.29250208855472026
18,coex_BRO,36,28,0.25719246031746024
19,coex_SKN,33,22,0.15651304713804715
20,coex_ADS,28,19,0.4173881673881672
21,coex_GEJ,32,16,0.2975694444444441
22,coex_BRB,25,20,0.40279069767441844
23,coex_UTR,21,18,-0.084859584859585
24,coex_STM,33,19,0.27419948472580025
25,coex_HRA,32,16,0.46267921146953395
26,coex_PRS,31,23,0.435969360233035
27,coex_ATA,30,18,0.20972222222222214
28,coex_FIB,23,16,0.21227006688963201
29,coex_BRC,30,26,0.13836996336996288
30,coex_ATT,30,21,-0.04229691876750685
31,coex_TNV,25,15,-0.12833333333333297
32,coex_SPL,33,20,0.15335906232132634
33,coex_LCL,20,15,0.00588235294117645
34,coex_CLS,33,24,0.4719696969696967
35,coex_EMC,34,21,0.2875272331154686
36,coex_CLT,30,29,0.25961887477313983
37,coex_core,41,22,0.08489331540111245
38,coex_WBL,32,18,0.1873611111111111
39,co-essential,10,3,-0.08461538461538476
40,GOBP,17,28,1.6232193732193734
41,ppi,49,50,0.31284477427334556
42,reactome_copathway,11,10,2.233333333333334
43,MP,13,27,1.8347193347193347
44,HP,13,34,1.0557186868200632
45,GI_net,18,17,0.360531309297913
46,gene_gene_on_CbG_name_mapped,8,11,0.47009569377990434
47,gene_gene_on_GcG_name_mapped,32,37,0.037174402663533
48,GOMF,5,6,
