,Layer,Colonic_neoplasm nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,45,46,-0.08905357927097057
1,coex_BST,32,37,-0.08699936349392878
2,coex_OVR,29,41,-0.10873352522345092
3,coex_LNG,41,43,-0.08585203792237239
4,coex_ITI,41,46,-0.27986921173559565
5,coex_VGN,39,42,-0.2278863112196443
6,coex_HRV,28,19,-0.1537154055351142
7,coex_MSG,41,45,-0.032469906094409806
8,coex_ADV,27,38,-0.02016794122057264
9,coex_EMS,31,39,-0.22424749163879598
10,coex_SMU,30,38,-0.20624355005159956
11,coex_ARG,34,36,-0.009606938954765054
12,coex_TST,44,45,-0.07883043922369781
13,coex_PIT,38,40,-0.09006410256410269
14,coex_LVR,42,41,-0.21610133915452745
15,coex_THY,37,35,-0.07335907335907343
16,coex_PNC,36,40,0.06809523809523821
17,coex_ATC,36,43,-0.206925883054474
18,coex_BRO,35,39,-0.11483021483021472
19,coex_SKN,36,44,-0.047628637185599176
20,coex_ADS,32,24,-0.3839285714285716
21,coex_GEJ,35,38,-0.0935672514619883
22,coex_BRB,30,14,-0.2359307359307361
23,coex_UTR,26,35,0.043965051342100825
24,coex_STM,41,45,-0.0747967479674796
25,coex_HRA,33,36,0.09617918313570484
26,coex_PRS,30,41,-0.2884117714416581
27,coex_ATA,36,33,0.06618423036333487
28,coex_FIB,34,39,-0.14662882696938428
29,coex_BRC,37,38,-0.14613560929350422
30,coex_ATT,31,36,0.06405529953917011
31,coex_TNV,27,21,-0.03105590062111796
32,coex_SPL,33,42,-0.28341991341991357
33,coex_LCL,30,36,-0.11373626373626378
34,coex_CLS,41,42,-0.14467418546365907
35,coex_EMC,36,42,-0.2628571428571427
36,coex_CLT,37,44,-0.03055555555555567
37,coex_core,43,45,-0.0134601832276251
38,coex_WBL,42,40,-0.09533972125435564
39,co-essential,22,22,-0.08982683982683959
40,GOBP,7,12,0.23214285714285676
41,ppi,50,50,-0.1499999999999999
42,reactome_copathway,35,31,-0.15996810207336498
43,MP,13,15,0.581666666666667
44,HP,21,22,-0.19120608074096457
45,GI_net,31,37,-0.21097235755679766
46,gene_gene_on_CbG_name_mapped,19,8,0.018274853801169666
47,gene_gene_on_GcG_name_mapped,33,43,-0.2742758057935535
48,GOMF,2,3,
