,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,34,31,0.09199147665412033
1,coex_BST,25,21,0.28320802005012524
2,coex_OVR,18,24,0.052579365079365115
3,coex_LNG,27,25,0.2413105413105412
4,coex_ITI,33,27,0.18451178451178452
5,coex_VGN,34,28,0.2799814841190713
6,coex_HRV,16,40,0.07767857142857149
7,coex_MSG,25,44,0.2672793148880106
8,coex_ADV,23,20,0.4189079878665316
9,coex_EMS,28,34,1.1146514161220042
10,coex_SMU,24,36,0.4027777777777777
11,coex_ARG,30,21,0.8483333333333336
12,coex_TST,32,30,0.10322580645161294
13,coex_PIT,35,26,0.10686362817510342
14,coex_LVR,22,18,0.054797979797979846
15,coex_THY,23,31,1.3043293718166384
16,coex_PNC,30,16,0.3972868217054266
17,coex_ATC,29,38,0.6225383969444969
18,coex_BRO,45,27,0.24735619101816275
19,coex_SKN,25,24,0.2690425531914893
20,coex_ADS,21,21,0.6975274725274727
21,coex_GEJ,29,24,0.7510024057738574
22,coex_BRB,35,21,0.4107142857142856
23,coex_UTR,17,22,0.1704716851775676
24,coex_STM,29,29,-0.10344827586206895
25,coex_HRA,23,43,0.4857217268744063
26,coex_PRS,23,43,0.1964488157612525
27,coex_ATA,25,19,0.35539065687474514
28,coex_FIB,16,17,0.3683155080213907
29,coex_BRC,37,30,0.14144144144144155
30,coex_ATT,26,29,0.8056352514480594
31,coex_TNV,21,26,0.4986486486486488
32,coex_SPL,24,23,0.058896083872957083
33,coex_LCL,11,24,0.2380050505050506
34,coex_CLS,31,28,0.46661236016074703
35,coex_EMC,22,19,0.30950190160716495
36,coex_CLT,30,24,0.18333333333333335
37,coex_core,32,41,0.8441257299896943
38,coex_WBL,18,34,1.294717887154862
39,co-essential,6,11,-0.16488413547237046
40,GOBP,29,23,1.5389610389610389
41,ppi,50,49,0.3164460935889508
42,reactome_copathway,13,17,0.7549019607843139
43,MP,12,25,0.36761904761904773
44,HP,20,38,0.5350725952813069
45,GI_net,17,17,0.13235294117647056
46,gene_gene_on_CbG_name_mapped,17,11,0.021963330786860302
47,gene_gene_on_GcG_name_mapped,38,27,-0.042727545359124264
48,GOMF,6,2,
