,Layer,Hypogonadism nodes,Pericarditis nodes,sAB
0,coex_KDN,27,33,0.13670033670033677
1,coex_BST,19,13,0.15425101214574877
2,coex_OVR,21,22,0.33398268398268405
3,coex_LNG,19,38,0.5
4,coex_ITI,23,26,0.44101449275362303
5,coex_VGN,19,25,0.2007598939208486
6,coex_HRV,13,29,0.4118984463812052
7,coex_MSG,29,28,0.6362781954887216
8,coex_ADV,18,28,1.0678755998523441
9,coex_EMS,19,23,0.4909011659583742
10,coex_SMU,18,21,0.22445820433436525
11,coex_ARG,20,19,0.24192745376955926
12,coex_TST,29,26,0.14809500843983603
13,coex_PIT,24,27,0.3642429193899783
14,coex_LVR,18,32,0.43900966183574863
15,coex_THY,18,26,0.7726244343891402
16,coex_PNC,18,19,0.580646435909594
17,coex_ATC,23,29,0.6537019951562684
18,coex_BRO,17,27,0.4395919984155279
19,coex_SKN,19,25,0.5094258373205744
20,coex_ADS,17,26,0.16460591392191937
21,coex_GEJ,24,19,1.1716247139588098
22,coex_BRB,14,22,0.5252525252525251
23,coex_UTR,16,19,0.35032894736842124
24,coex_STM,20,29,0.34264602392681187
25,coex_HRA,23,20,0.7937132784958871
26,coex_PRS,15,21,0.7420634920634921
27,coex_ATA,28,24,0.4153846153846157
28,coex_FIB,15,10,0.5
29,coex_BRC,17,20,0.14701907790143087
30,coex_ATT,26,25,0.9939430894308943
31,coex_TNV,19,24,1.6291666666666669
32,coex_SPL,18,38,0.742376775271512
33,coex_LCL,11,17,0.15454545454545432
34,coex_CLS,20,21,1.1729965156794422
35,coex_EMC,14,30,0.6428571428571428
36,coex_CLT,19,25,0.8607456140350875
37,coex_core,29,36,0.8225829725829727
38,coex_WBL,21,36,0.5787037037037037
39,co-essential,5,4,0.4249999999999998
40,GOBP,19,19,2.7776526878694066
41,ppi,50,49,0.4953123067408782
42,reactome_copathway,23,21,1.5422705314009661
43,MP,16,18,2.9375
44,HP,36,36,1.3333333333333335
45,GI_net,17,20,0.3408088235294118
46,gene_gene_on_CbG_name_mapped,16,7,0.30046583850931663
47,gene_gene_on_GcG_name_mapped,30,23,0.1537510656436485
48,GOMF,8,9,
