,Layer,Macular_degeneration nodes,Autoimmune_disease nodes,sAB
0,coex_KDN,38,39,0.23397654976602356
1,coex_BST,19,20,0.34415204678362565
2,coex_OVR,33,22,0.33041958041958
3,coex_LNG,27,33,-0.08307213443036865
4,coex_ITI,35,33,0.3869875222816397
5,coex_VGN,34,24,0.23668864097363063
6,coex_HRV,24,30,0.4967592592592589
7,coex_MSG,36,30,0.15681818181818197
8,coex_ADV,22,22,0.2999848988221081
9,coex_EMS,25,19,-0.014258373205741304
10,coex_SMU,27,28,0.2228941568564209
11,coex_ARG,26,17,0.29615384615384643
12,coex_TST,34,28,0.2503049606939549
13,coex_PIT,31,30,0.16279387643521037
14,coex_LVR,31,32,-0.012633857747223809
15,coex_THY,28,32,0.6808035714285712
16,coex_PNC,29,20,0.09611151870873025
17,coex_ATC,29,25,0.09962184873949553
18,coex_BRO,32,28,0.21160714285714288
19,coex_SKN,35,27,0.17979007492025834
20,coex_ADS,27,27,0.5594662151265926
21,coex_GEJ,21,25,0.23852813852813837
22,coex_BRB,29,25,0.4926790450928382
23,coex_UTR,24,15,0.7846153846153845
24,coex_STM,33,31,0.28164711632453576
25,coex_HRA,34,26,0.24705882352941178
26,coex_PRS,31,23,0.27487135506003435
27,coex_ATA,30,25,0.41000000000000014
28,coex_FIB,27,18,0.35372549019607824
29,coex_BRC,31,28,0.35424133811230574
30,coex_ATT,30,26,0.5077803079592282
31,coex_TNV,28,21,0.13399189463019212
32,coex_SPL,33,27,0.35155663545494087
33,coex_LCL,14,24,0.6010154061624648
34,coex_CLS,33,26,0.5247915925882027
35,coex_EMC,30,25,0.1453703703703706
36,coex_CLT,35,29,0.26150793650793647
37,coex_core,37,37,0.17964539882348096
38,coex_WBL,30,36,0.17954545454545445
39,co-essential,4,9,1.399572649572649
40,GOBP,27,13,1.26048951048951
41,ppi,50,50,0.07999999999999985
42,reactome_copathway,10,20,0.1642857142857146
43,MP,18,21,0.9172096908939014
44,HP,30,21,0.6943977591036414
45,GI_net,10,17,-0.10958605664488008
46,gene_gene_on_CbG_name_mapped,8,12,-0.2875000000000001
47,gene_gene_on_GcG_name_mapped,36,30,-0.07979797979797976
48,GOMF,5,6,
