,Layer,Macular_degeneration nodes,Glaucoma nodes,sAB
0,coex_KDN,38,39,-0.06489124910177546
1,coex_BST,19,21,0.04960317460317487
2,coex_OVR,33,35,-0.061538461538461764
3,coex_LNG,27,33,-0.13395225464191007
4,coex_ITI,35,37,-0.20930930930930924
5,coex_VGN,34,40,0.11470588235294121
6,coex_HRV,24,26,0.07032051282051288
7,coex_MSG,36,41,-0.075480413895048
8,coex_ADV,22,19,0.17647916909791128
9,coex_EMS,25,29,0.31050397877984093
10,coex_SMU,27,29,0.26883780332056206
11,coex_ARG,26,29,0.24823582403283107
12,coex_TST,34,41,-0.26025346724055476
13,coex_PIT,31,38,-0.1680507369405282
14,coex_LVR,31,37,0.08594224723256971
15,coex_THY,28,32,0.21798029556650222
16,coex_PNC,29,34,-0.03957037874505387
17,coex_ATC,29,32,-0.2626244145199066
18,coex_BRO,32,33,0.2743444055944053
19,coex_SKN,35,36,-0.0717787114845938
20,coex_ADS,27,26,-0.09615384615384626
21,coex_GEJ,21,27,-0.004515050167224199
22,coex_BRB,29,27,0.08228425469804801
23,coex_UTR,24,28,0.18082788671023975
24,coex_STM,33,39,-0.15025252525252508
25,coex_HRA,34,26,0.15302699329068514
26,coex_PRS,31,28,-0.19370460048426152
27,coex_ATA,30,30,0.08333333333333348
28,coex_FIB,27,27,-0.2281422351233673
29,coex_BRC,31,35,-0.1790754608294931
30,coex_ATT,30,32,0.05005561735261432
31,coex_TNV,28,28,0.06878306878306883
32,coex_SPL,33,27,-0.008069197724370092
33,coex_LCL,14,13,0.00030525030525030417
34,coex_CLS,33,30,-0.14093392945851946
35,coex_EMC,30,32,-0.21743951612903234
36,coex_CLT,35,37,-0.07177177177177185
37,coex_core,37,37,-0.2166180264771813
38,coex_WBL,30,27,0.14532163742690063
39,co-essential,4,6,-1.033333333333334
40,GOBP,27,9,0.11328725038402476
41,ppi,50,49,0.10237270665842102
42,reactome_copathway,10,23,-0.2764550264550265
43,MP,18,11,0.81984126984127
44,HP,30,20,0.4716666666666667
45,GI_net,10,21,-0.07520525451559923
46,gene_gene_on_CbG_name_mapped,8,9,-0.5388071895424835
47,gene_gene_on_GcG_name_mapped,36,38,-0.015133554607238864
48,GOMF,5,2,
