,Layer,Episcleritis nodes,Blepharitis nodes,sAB
0,coex_KDN,48,43,0.23555562654399864
1,coex_BST,32,41,0.16436576777739598
2,coex_OVR,36,41,0.11312163446309809
3,coex_LNG,42,45,0.2680623973727423
4,coex_ITI,43,42,0.2238648947951274
5,coex_VGN,40,42,0.10656627323293999
6,coex_HRV,25,15,0.8729813664596273
7,coex_MSG,39,45,0.1661172161172162
8,coex_ADV,33,39,0.2292152292152294
9,coex_EMS,36,42,0.14148351648351642
10,coex_SMU,37,41,0.3403055964031574
11,coex_ARG,42,41,0.047671522326238724
12,coex_TST,40,45,0.11993464052287606
13,coex_PIT,41,44,0.11576887961392979
14,coex_LVR,40,44,0.028965512399247384
15,coex_THY,36,25,0.19608395989974925
16,coex_PNC,32,41,0.1447805295689948
17,coex_ATC,39,42,0.1734839234839236
18,coex_BRO,38,38,0.3026315789473686
19,coex_SKN,37,43,-0.0853551225644249
20,coex_ADS,32,19,0.6943810418904404
21,coex_GEJ,35,41,0.2654375896700145
22,coex_BRB,26,14,0.4296703296703295
23,coex_UTR,33,37,0.09633886603995312
24,coex_STM,44,41,0.2754695448023998
25,coex_HRA,32,38,0.10392156862745106
26,coex_PRS,36,41,0.23498486608242675
27,coex_ATA,40,36,0.3566520467836256
28,coex_FIB,29,40,-0.04211019490254864
29,coex_BRC,31,40,0.06725352112676042
30,coex_ATT,39,42,0.7188596491228068
31,coex_TNV,17,14,0.7395833333333335
32,coex_SPL,42,41,0.15580790059191463
33,coex_LCL,30,39,-0.0652312599681022
34,coex_CLS,40,42,-0.051960385293718714
35,coex_EMC,34,42,0.11270824119121348
36,coex_CLT,38,43,0.06033961854887426
37,coex_core,46,43,0.27204421045291305
38,coex_WBL,39,41,0.21476387536514108
39,co-essential,4,22,0.40909090909090917
40,GOBP,29,21,1.386487378320409
41,ppi,50,50,0.31000000000000005
42,reactome_copathway,20,25,0.59375
43,MP,16,13,0.8891941391941387
44,HP,18,36,0.27991452991453003
45,GI_net,18,29,-0.26163691204043316
46,gene_gene_on_CbG_name_mapped,6,4,0.5916666666666663
47,gene_gene_on_GcG_name_mapped,33,35,0.023134708428826034
48,GOMF,13,4,
