,Layer,Chorea nodes,Goiter nodes,sAB
0,coex_KDN,42,35,0.1601731601731604
1,coex_BST,40,21,0.20529556650246317
2,coex_OVR,37,29,0.3602473947301532
3,coex_LNG,40,26,0.1997596153846155
4,coex_ITI,45,27,0.3037037037037036
5,coex_VGN,41,25,0.42928307464892845
6,coex_HRV,19,10,-0.14139515455304918
7,coex_MSG,44,31,0.0749706744868035
8,coex_ADV,33,16,0.22689393939393954
9,coex_EMS,40,14,0.539814814814815
10,coex_SMU,37,14,0.08592626239685108
11,coex_ARG,38,21,0.4899749373433586
12,coex_TST,47,18,0.05531914893617018
13,coex_PIT,45,26,0.13394125436378945
14,coex_LVR,33,19,0.10897435897435881
15,coex_THY,37,27,0.5410052910052907
16,coex_PNC,36,20,0.10912698412698374
17,coex_ATC,38,20,0.0786751361161524
18,coex_BRO,42,21,0.0023809523809523725
19,coex_SKN,41,20,0.2629248300679725
20,coex_ADS,33,13,0.9257409257409255
21,coex_GEJ,44,22,0.478372434017595
22,coex_BRB,26,15,0.0772122614227877
23,coex_UTR,31,19,0.4208909370199696
24,coex_STM,43,23,0.4447406317982656
25,coex_HRA,40,15,-0.10833333333333339
26,coex_PRS,39,18,0.12708052181736385
27,coex_ATA,36,22,0.41192093347265724
28,coex_FIB,27,23,0.23925925925925928
29,coex_BRC,44,22,-0.22348484848484862
30,coex_ATT,39,21,0.2897435897435896
31,coex_TNV,21,13,0.354052197802198
32,coex_SPL,35,24,0.06735270379338187
33,coex_LCL,26,22,-0.062020202020201864
34,coex_CLS,39,21,0.5205128205128207
35,coex_EMC,39,18,0.28385065227170525
36,coex_CLT,42,23,0.2471253384296861
37,coex_core,43,30,0.7708505893596687
38,coex_WBL,35,17,-0.2178151260504202
39,co-essential,13,9,0.8543956043956045
40,GOBP,23,20,0.6723684210526311
41,ppi,50,41,0.10962476547842392
42,reactome_copathway,16,7,0.4460784313725492
43,MP,17,14,0.8080357142857144
44,HP,26,38,0.27051736477965993
45,GI_net,21,16,0.11755952380952372
46,gene_gene_on_CbG_name_mapped,8,11,0.04186602870813405
47,gene_gene_on_GcG_name_mapped,38,21,0.19955609362389026
48,GOMF,3,2,
