,Layer,Endometriosis nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,41,43,0.177423648080695
1,coex_BST,26,37,0.3278883278883278
2,coex_OVR,25,33,0.06868022328548662
3,coex_LNG,27,41,0.38217247097844087
4,coex_ITI,35,43,0.23118664281454993
5,coex_VGN,31,39,0.2692189530899207
6,coex_HRV,33,17,0.5677083333333335
7,coex_MSG,35,43,0.24097452934662233
8,coex_ADV,19,25,0.15133971291866022
9,coex_EMS,20,35,0.12435064935064943
10,coex_SMU,24,34,0.31845238095238093
11,coex_ARG,27,30,0.3270152505446622
12,coex_TST,36,42,0.3322649572649572
13,coex_PIT,32,32,0.34826150185087257
14,coex_LVR,28,35,0.586904761904762
15,coex_THY,33,33,0.8030303030303028
16,coex_PNC,26,31,0.541476209133255
17,coex_ATC,27,38,0.2323169033695347
18,coex_BRO,29,32,0.1230656444318825
19,coex_SKN,25,38,0.41069887834339935
20,coex_ADS,33,30,0.7554184784440623
21,coex_GEJ,27,35,0.2722903254255229
22,coex_BRB,23,23,0.550556117290192
23,coex_UTR,17,35,-0.10142210730446033
24,coex_STM,35,44,0.23346210751274055
25,coex_HRA,27,32,0.40138496547394853
26,coex_PRS,22,34,0.11860198624904505
27,coex_ATA,27,32,0.21691480562448273
28,coex_FIB,20,36,0.0016233766233766378
29,coex_BRC,31,33,0.5607503607503608
30,coex_ATT,26,34,0.3820301161103048
31,coex_TNV,25,21,0.5933333333333333
32,coex_SPL,25,39,0.4429166666666666
33,coex_LCL,12,31,0.26456614153538416
34,coex_CLS,27,38,0.22438006072874495
35,coex_EMC,27,38,0.23949898785425106
36,coex_CLT,28,45,0.057970042477084816
37,coex_core,39,44,0.516309639727361
38,coex_WBL,30,32,0.33489061920652574
39,co-essential,7,21,0.28809523809523796
40,GOBP,8,8,0.07142857142857117
41,ppi,49,50,0.028435374149659687
42,reactome_copathway,16,33,0.3709501934235977
43,MP,10,12,-0.3168831168831172
44,HP,16,25,0.03033536585365848
45,GI_net,19,35,-0.10185185185185186
46,gene_gene_on_CbG_name_mapped,14,17,-0.006505828137706837
47,gene_gene_on_GcG_name_mapped,33,40,-0.062349522623495135
48,GOMF,5,2,
