,Layer,Sinusitis nodes,Erysipelas nodes,sAB
0,coex_KDN,41,46,0.10635743174924173
1,coex_BST,21,22,0.4047619047619049
2,coex_OVR,33,34,0.453125
3,coex_LNG,43,37,0.4532133878064113
4,coex_ITI,39,42,0.003971232020012483
5,coex_VGN,31,39,0.16370783199232308
6,coex_HRV,28,31,0.08505133802247533
7,coex_MSG,40,41,0.19760614272809396
8,coex_ADV,31,33,0.08846529814271786
9,coex_EMS,27,27,0.20940170940170932
10,coex_SMU,32,28,-0.03748460591133007
11,coex_ARG,28,30,-0.015091608331172512
12,coex_TST,38,43,0.04539719237801654
13,coex_PIT,33,37,0.1330786860198625
14,coex_LVR,35,41,0.18428288916093805
15,coex_THY,37,36,0.0838321197910239
16,coex_PNC,34,30,-0.13535736875395332
17,coex_ATC,38,37,0.2297297297297296
18,coex_BRO,36,42,0.21275946275946267
19,coex_SKN,33,35,0.4593073593073591
20,coex_ADS,37,34,0.22712418300653603
21,coex_GEJ,30,36,0.39734859461025795
22,coex_BRB,28,31,0.2733042283127174
23,coex_UTR,23,29,0.5510204081632653
24,coex_STM,37,37,0.08108108108108114
25,coex_HRA,23,31,0.1572373153322637
26,coex_PRS,32,34,0.07664884135472372
27,coex_ATA,35,37,0.39845559845559864
28,coex_FIB,20,21,0.02195121951219514
29,coex_BRC,25,31,0.38255760368663605
30,coex_ATT,35,39,0.14612730456277667
31,coex_TNV,22,37,0.39154475792406807
32,coex_SPL,37,32,0.20940437720329053
33,coex_LCL,21,21,0.26190476190476186
34,coex_CLS,29,40,0.2989545951006398
35,coex_EMC,36,34,0.14126984126984143
36,coex_CLT,35,40,0.1043067226890757
37,coex_core,40,43,0.14427360605211526
38,coex_WBL,37,36,-0.09491854868567207
39,co-essential,4,6,-0.41666666666666696
40,GOBP,18,21,0.8044061302681991
41,ppi,49,49,0.1326530612244896
42,reactome_copathway,19,24,0.3530324582956159
43,MP,17,15,1.1371148459383753
44,HP,28,19,0.5159774436090225
45,GI_net,19,21,-0.09680451127819545
46,gene_gene_on_CbG_name_mapped,11,14,0.003766233766233862
47,gene_gene_on_GcG_name_mapped,28,30,-0.15504926108374373
48,GOMF,1,8,
