,Layer,Angioedema nodes,Facial_paralysis nodes,sAB
0,coex_KDN,44,45,0.10227272727272707
1,coex_BST,19,35,0.6962642620537356
2,coex_OVR,24,37,0.22658211490178726
3,coex_LNG,31,43,0.1965753424657537
4,coex_ITI,33,41,0.01738878568146851
5,coex_VGN,32,42,0.2202818627450982
6,coex_HRV,21,26,0.5232517482517482
7,coex_MSG,31,44,0.2301270772238515
8,coex_ADV,25,36,0.7238888888888888
9,coex_EMS,23,41,0.563626723223754
10,coex_SMU,30,38,0.34112487100103195
11,coex_ARG,22,39,0.5167713642289913
12,coex_TST,29,42,0.04551446610698662
13,coex_PIT,26,41,-0.04654728234997618
14,coex_LVR,39,36,0.28085470085470066
15,coex_THY,24,40,0.4245185099757811
16,coex_PNC,24,39,0.4863913408995377
17,coex_ATC,24,44,0.1163101604278074
18,coex_BRO,27,39,0.35767935767935777
19,coex_SKN,33,41,0.31646077499736025
20,coex_ADS,28,31,0.7606322736858551
21,coex_GEJ,27,39,0.45611616579358527
22,coex_BRB,22,30,0.0933881389546416
23,coex_UTR,12,32,0.2651515151515147
24,coex_STM,32,39,0.2555751173708918
25,coex_HRA,28,40,0.5472610722610725
26,coex_PRS,26,41,0.1803001876172612
27,coex_ATA,25,38,0.2620718462823728
28,coex_FIB,19,34,-0.013742041007068106
29,coex_BRC,21,42,0.14459930313588876
30,coex_ATT,29,42,0.5138145213107732
31,coex_TNV,23,24,1.1453067071115606
32,coex_SPL,36,37,0.3972962688716113
33,coex_LCL,11,22,0.19354838709677402
34,coex_CLS,31,41,0.4178711925368104
35,coex_EMC,31,37,0.3751155847930041
36,coex_CLT,33,39,0.05254467754467762
37,coex_core,39,45,0.4664192532613587
38,coex_WBL,28,32,0.6435112864172461
39,co-essential,3,6,1.8250000000000002
40,GOBP,30,25,1.2772515856236781
41,ppi,50,50,0.2799999999999998
42,reactome_copathway,20,14,0.7904640633842672
43,MP,19,16,0.6727614490772384
44,HP,29,34,0.7830778439131447
45,GI_net,9,20,0.010714285714285676
46,gene_gene_on_CbG_name_mapped,16,5,0.6145833333333335
47,gene_gene_on_GcG_name_mapped,29,39,0.059655692515732994
48,GOMF,8,6,
