,Layer,Inflammatory_bowel_disease nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,40,45,0.3504884004884006
1,coex_BST,22,38,0.5239646922950008
2,coex_OVR,30,41,0.4736993872401778
3,coex_LNG,39,40,0.4318078545926647
4,coex_ITI,41,47,0.40908501203000425
5,coex_VGN,27,46,0.2516764829153155
6,coex_HRV,28,20,1.407142857142857
7,coex_MSG,39,42,0.3682336182336181
8,coex_ADV,32,38,0.8994010212097407
9,coex_EMS,25,42,0.26368042526579094
10,coex_SMU,26,41,0.26920976729859136
11,coex_ARG,25,45,0.32126984126984137
12,coex_TST,31,49,0.24833772218564842
13,coex_PIT,32,41,0.4636331847189439
14,coex_LVR,36,41,0.3175175095906806
15,coex_THY,31,33,1.053213587487781
16,coex_PNC,28,42,0.6015406162464987
17,coex_ATC,36,43,0.6395307951460438
18,coex_BRO,32,43,0.7437419250645996
19,coex_SKN,27,42,0.4439843570278357
20,coex_ADS,32,24,1.2685185185185186
21,coex_GEJ,31,44,0.4075335735342285
22,coex_BRB,26,19,0.8632478632478633
23,coex_UTR,19,36,0.5762732766062402
24,coex_STM,35,45,0.3724206349206347
25,coex_HRA,31,43,0.7776149516831263
26,coex_PRS,31,39,0.5247491638795989
27,coex_ATA,33,34,1.0909090909090913
28,coex_FIB,17,38,0.3935547424711514
29,coex_BRC,29,42,0.738962510696362
30,coex_ATT,26,40,0.7759462759462759
31,coex_TNV,26,11,0.7474484974484974
32,coex_SPL,29,41,0.24821365449679322
33,coex_LCL,27,38,0.27526977526977503
34,coex_CLS,32,45,0.2974716652136009
35,coex_EMC,33,38,0.46459116541353396
36,coex_CLT,33,47,0.39755167654187984
37,coex_core,41,46,0.7952365280774245
38,coex_WBL,39,41,0.3540181363352095
39,co-essential,7,14,0.651206636500754
40,GOBP,18,18,0.8256410256410258
41,ppi,49,50,0.30297670583384884
42,reactome_copathway,19,12,0.36238636363636334
43,MP,15,16,0.4309523809523812
44,HP,23,33,1.1524797666102011
45,GI_net,25,25,0.26649659863945585
46,gene_gene_on_CbG_name_mapped,8,11,0.3962320574162679
47,gene_gene_on_GcG_name_mapped,33,32,-0.01629516317016333
48,GOMF,8,6,
