,Layer,Chorea nodes,Periodontitis nodes,sAB
0,coex_KDN,42,36,0.3030303030303032
1,coex_BST,40,19,0.29785115303983245
2,coex_OVR,37,20,0.09163110478899972
3,coex_LNG,40,28,0.4019969596462136
4,coex_ITI,45,28,0.2806370950206567
5,coex_VGN,41,21,0.4960333864839861
6,coex_HRV,19,25,0.38550591595267214
7,coex_MSG,44,30,0.1623464373464374
8,coex_ADV,33,27,0.8106455691201453
9,coex_EMS,40,19,0.31825396825396846
10,coex_SMU,37,17,0.21725571725571724
11,coex_ARG,38,17,0.21469180973824953
12,coex_TST,47,21,0.3785684486560581
13,coex_PIT,45,24,0.42765700483091784
14,coex_LVR,33,30,0.4347423062662217
15,coex_THY,37,17,0.9950980392156863
16,coex_PNC,36,24,0.6817530500286577
17,coex_ATC,38,27,0.2678587494376967
18,coex_BRO,42,21,0.623015873015873
19,coex_SKN,41,17,0.16126596980255536
20,coex_ADS,33,20,0.8276901669758812
21,coex_GEJ,44,26,0.8938738127544101
22,coex_BRB,26,20,0.5806856187290972
23,coex_UTR,31,12,0.1729472140762467
24,coex_STM,43,27,0.3458594807432016
25,coex_HRA,40,25,0.4267473118279572
26,coex_PRS,39,18,0.32756948933419494
27,coex_ATA,36,19,0.9887592408694692
28,coex_FIB,27,14,0.46134985159375397
29,coex_BRC,44,16,0.05359848484848495
30,coex_ATT,39,18,0.7553620383809059
31,coex_TNV,21,18,0.32640424590888983
32,coex_SPL,35,26,0.367240136912268
33,coex_LCL,26,11,0.19882352941176462
34,coex_CLS,39,18,0.37152292152292166
35,coex_EMC,39,23,0.1958319847520409
36,coex_CLT,42,18,0.34369868637110024
37,coex_core,43,31,0.5695459579180508
38,coex_WBL,35,28,0.4627634660421549
39,co-essential,13,10,0.22675585284280908
40,GOBP,23,17,1.041666666666667
41,ppi,50,49,0.2432921047206762
42,reactome_copathway,16,29,1.0255791505791505
43,MP,17,15,2.308035714285714
44,HP,26,13,0.5064102564102562
45,GI_net,21,21,0.4224937343358395
46,gene_gene_on_CbG_name_mapped,8,25,0.4584848484848483
47,gene_gene_on_GcG_name_mapped,38,30,0.08823529411764697
48,GOMF,3,2,
