,Layer,Lymphangiomyomatosis nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,44,43,-0.011627906976744207
1,coex_BST,28,37,0.15498310810810811
2,coex_OVR,30,33,0.11947618566083529
3,coex_LNG,31,41,0.18180372557928237
4,coex_ITI,38,43,0.02258715263611233
5,coex_VGN,36,39,0.1748717948717946
6,coex_HRV,30,17,0.37916666666666643
7,coex_MSG,41,43,0.16263538881235995
8,coex_ADV,19,25,0.07478468899521529
9,coex_EMS,33,35,0.18001018589253892
10,coex_SMU,33,34,0.002622377622377714
11,coex_ARG,29,30,0.33452380952380967
12,coex_TST,41,42,0.143206974238417
13,coex_PIT,39,32,0.178986068111455
14,coex_LVR,39,35,0.36914166914166935
15,coex_THY,37,33,0.3967707967707965
16,coex_PNC,35,31,0.2824326211422985
17,coex_ATC,32,38,0.29063467492260076
18,coex_BRO,30,32,0.0248991935483871
19,coex_SKN,34,38,0.6240822644847412
20,coex_ADS,34,30,0.5240912456936799
21,coex_GEJ,33,35,0.17010655378776818
22,coex_BRB,24,23,0.8038302277432714
23,coex_UTR,25,35,-0.04857142857142849
24,coex_STM,39,44,0.21538601960288717
25,coex_HRA,31,32,0.3976734511008704
26,coex_PRS,29,34,0.17836214945748363
27,coex_ATA,32,32,0.33870967741935454
28,coex_FIB,22,36,-0.14285714285714302
29,coex_BRC,33,33,0.045454545454545414
30,coex_ATT,34,34,0.14497950819672134
31,coex_TNV,25,21,0.8951515151515146
32,coex_SPL,29,39,0.048512508451656444
33,coex_LCL,21,31,0.16994564575209736
34,coex_CLS,36,38,0.11799986522002825
35,coex_EMC,33,38,0.26367481203007515
36,coex_CLT,32,45,0.13430555555555546
37,coex_core,41,44,0.5419482809285923
38,coex_WBL,32,32,0.17518721198156673
39,co-essential,12,21,0.4845238095238096
40,GOBP,11,8,0.1333333333333333
41,ppi,50,50,0.1299999999999999
42,reactome_copathway,24,33,0.12765151515151518
43,MP,10,12,-0.038875598086124175
44,HP,23,25,0.2804347826086957
45,GI_net,26,35,-0.1554545454545453
46,gene_gene_on_CbG_name_mapped,16,17,-0.15368761140819953
47,gene_gene_on_GcG_name_mapped,38,40,-0.026045883940620795
48,GOMF,4,2,
