,Layer,Squamous_cell_carcinoma nodes,Macular_degeneration nodes,sAB
0,coex_KDN,45,38,0.12742151943050528
1,coex_BST,35,19,0.34684037136867296
2,coex_OVR,36,33,-0.01868131868131906
3,coex_LNG,42,27,0.3203144689311417
4,coex_ITI,41,35,0.2707317073170732
5,coex_VGN,37,34,0.1379922121610102
6,coex_HRV,30,24,0.6615740740740741
7,coex_MSG,42,36,0.1396520146520146
8,coex_ADV,32,22,0.21680345117845157
9,coex_EMS,35,25,0.37523809523809515
10,coex_SMU,33,27,0.22996632996633015
11,coex_ARG,30,26,-0.06113307642260146
12,coex_TST,39,34,-0.1089330358065248
13,coex_PIT,43,31,-0.051235781918452794
14,coex_LVR,38,31,0.005683915257990613
15,coex_THY,35,28,0.04537470725995352
16,coex_PNC,31,29,0.04616240266963301
17,coex_ATC,32,29,0.06320352043514399
18,coex_BRO,37,32,0.20063405797101463
19,coex_SKN,35,35,0.02837656801851174
20,coex_ADS,37,27,0.1830264330264333
21,coex_GEJ,37,21,0.08116883116883145
22,coex_BRB,29,29,0.10344827586206895
23,coex_UTR,26,24,0.33794871794871817
24,coex_STM,40,33,0.1664902449149026
25,coex_HRA,38,34,0.29179566563467496
26,coex_PRS,38,31,0.2097407698350353
27,coex_ATA,33,30,0.34668109668109626
28,coex_FIB,34,27,0.10530825496342722
29,coex_BRC,35,31,-0.026843317972350178
30,coex_ATT,32,30,0.25323275862068995
31,coex_TNV,30,28,0.6187830687830682
32,coex_SPL,27,33,-0.16464646464646493
33,coex_LCL,27,14,-0.01016483516483535
34,coex_CLS,35,33,0.5576975108225111
35,coex_EMC,35,30,-0.14136029411764683
36,coex_CLT,36,35,0.07801932367149744
37,coex_core,44,37,0.14809660062824626
38,coex_WBL,38,30,0.0878647304020439
39,co-essential,20,4,0.979545454545454
40,GOBP,8,27,0.583333333333333
41,ppi,50,50,0.15999999999999992
42,reactome_copathway,30,10,0.08888888888888902
43,MP,11,18,1.6769841269841268
44,HP,26,30,0.7059523809523811
45,GI_net,34,10,-0.1203664552501762
46,gene_gene_on_CbG_name_mapped,15,8,-0.17952898550724639
47,gene_gene_on_GcG_name_mapped,32,36,-0.03962418300653581
48,GOMF,5,5,
