,Layer,Myopathy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,32,29,0.21782765926358882
1,coex_BST,24,19,0.17733739837398366
2,coex_OVR,23,21,0.091614906832298
3,coex_LNG,33,31,0.530993228849665
4,coex_ITI,32,24,0.07217261904761929
5,coex_VGN,25,25,-0.016170212765957537
6,coex_HRV,16,16,0.2905092592592591
7,coex_MSG,34,26,0.19306184012066363
8,coex_ADV,27,20,0.29679487179487163
9,coex_EMS,26,22,0.2984566596194509
10,coex_SMU,28,19,0.40096618357487923
11,coex_ARG,24,22,-0.06439393939393945
12,coex_TST,27,24,0.02246732026143805
13,coex_PIT,27,25,0.04247863247863237
14,coex_LVR,32,33,0.12575757575757573
15,coex_THY,23,19,0.7402874902874901
16,coex_PNC,23,21,0.2091097308488612
17,coex_ATC,25,22,0.3935203094777564
18,coex_BRO,27,24,0.8719230769230766
19,coex_SKN,29,18,0.13565891472868197
20,coex_ADS,16,16,0.17305107526881702
21,coex_GEJ,31,19,-0.03363074811255995
22,coex_BRB,15,15,0.9185185185185185
23,coex_UTR,21,21,0.1845238095238093
24,coex_STM,30,26,0.13031135531135551
25,coex_HRA,27,19,0.32076555023923436
26,coex_PRS,32,27,0.2744982804405556
27,coex_ATA,25,17,0.47525107604017247
28,coex_FIB,24,17,0.34375
29,coex_BRC,24,23,0.4097826086956524
30,coex_ATT,25,17,0.8687500000000004
31,coex_TNV,18,15,0.9613768584356821
32,coex_SPL,32,38,0.9580518018018016
33,coex_LCL,18,16,0.47519841269841256
34,coex_CLS,32,24,0.28617620206938543
35,coex_EMC,26,26,0.3814102564102564
36,coex_CLT,28,24,0.1160714285714286
37,coex_core,37,32,0.31182795698924726
38,coex_WBL,32,34,1.1487191650853892
39,co-essential,7,11,-0.09595959595959602
40,GOBP,27,28,0.7688823857302114
41,ppi,49,50,0.2321562564419708
42,reactome_copathway,18,10,0.8232026143790849
43,MP,18,15,1.0985361886690157
44,HP,26,22,0.905885780885781
45,GI_net,19,16,0.20574162679425845
46,gene_gene_on_CbG_name_mapped,16,15,0.1308467741935484
47,gene_gene_on_GcG_name_mapped,27,32,0.01678240740740744
48,GOMF,8,2,
