,Layer,Biliary_cirrhosis nodes,Absence_seizure nodes,sAB
0,coex_KDN,42,30,0.050000000000000044
1,coex_BST,18,20,0.36184210526315796
2,coex_OVR,22,19,0.1667055665771966
3,coex_LNG,32,17,0.618279569892473
4,coex_ITI,38,26,0.05174595141700422
5,coex_VGN,25,20,0.49452380952380937
6,coex_HRV,17,13,0.6294642857142856
7,coex_MSG,23,22,0.14755492232741996
8,coex_ADV,26,17,0.6772247360482657
9,coex_EMS,19,19,0.5263157894736841
10,coex_SMU,19,15,0.2552115583075336
11,coex_ARG,18,25,0.2866149870801036
12,coex_TST,24,30,0.39305555555555527
13,coex_PIT,26,28,0.18477818477818464
14,coex_LVR,30,22,0.27680652680652673
15,coex_THY,29,16,0.4545454545454546
16,coex_PNC,20,19,0.4596828609986505
17,coex_ATC,25,17,0.5117647058823529
18,coex_BRO,23,43,0.25923032141434543
19,coex_SKN,23,19,0.5141336989163077
20,coex_ADS,24,16,0.9729166666666669
21,coex_GEJ,22,22,0.029054279054279153
22,coex_BRB,18,35,0.4252424046541696
23,coex_UTR,20,16,0.5865841073271416
24,coex_STM,28,28,0.4107142857142856
25,coex_HRA,20,20,0.4421052631578948
26,coex_PRS,25,20,0.2596511627906981
27,coex_ATA,24,18,0.712301587301587
28,coex_FIB,17,13,-0.21930618401206647
29,coex_BRC,24,31,0.3719441063095963
30,coex_ATT,26,19,0.6408530270219379
31,coex_TNV,20,16,0.9395833333333337
32,coex_SPL,36,22,0.49198885405781967
33,coex_LCL,18,12,0.47556818181818183
34,coex_CLS,35,21,0.20902964959568715
35,coex_EMC,25,18,0.22964769647696492
36,coex_CLT,30,21,0.276969018290407
37,coex_core,35,23,0.6004369138959933
38,coex_WBL,32,17,0.3538602941176472
39,co-essential,4,3,2.3571428571428568
40,GOBP,20,30,1.2900608519269778
41,ppi,50,50,0.32000000000000006
42,reactome_copathway,21,12,1.539814814814815
43,MP,19,19,1.8260233918128659
44,HP,19,16,1.2502349624060152
45,GI_net,20,12,0.7857142857142856
46,gene_gene_on_CbG_name_mapped,15,27,0.20370370370370372
47,gene_gene_on_GcG_name_mapped,33,33,0.06060606060606055
48,GOMF,4,5,
