,Layer,Movement_disorder nodes,Coronary_artery_disorder nodes,sAB
0,coex_KDN,34,43,0.07297655904467049
1,coex_BST,25,26,0.3633594976452117
2,coex_OVR,22,32,0.2487827145465613
3,coex_LNG,24,37,-0.08767168808152404
4,coex_ITI,33,42,0.04478536185853277
5,coex_VGN,27,38,-0.02316689158794416
6,coex_HRV,20,31,0.07773561037318144
7,coex_MSG,30,40,-0.1077380952380953
8,coex_ADV,23,25,0.2730434782608695
9,coex_EMS,26,30,0.3964387464387462
10,coex_SMU,24,28,0.2890938984289364
11,coex_ARG,32,30,0.15833333333333321
12,coex_TST,39,39,0.08974358974358987
13,coex_PIT,35,41,0.27539382637287124
14,coex_LVR,29,36,-0.04495284409077538
15,coex_THY,26,29,0.40759585242343865
16,coex_PNC,23,32,-0.0026556324110669216
17,coex_ATC,21,28,-0.0112433862433865
18,coex_BRO,41,37,0.07331818339520524
19,coex_SKN,25,34,-0.10393818544366895
20,coex_ADS,21,30,-0.02666666666666684
21,coex_GEJ,32,27,0.398275190969688
22,coex_BRB,36,31,0.2713649494463166
23,coex_UTR,20,21,0.8249999999999997
24,coex_STM,31,38,0.054310917546320114
25,coex_HRA,26,29,0.06339522546419118
26,coex_PRS,22,29,-0.03660335607597265
27,coex_ATA,26,33,0.4885780885780888
28,coex_FIB,24,26,0.48557692307692335
29,coex_BRC,39,35,0.4436937413957429
30,coex_ATT,23,32,0.332566889632107
31,coex_TNV,19,28,0.5811112082531911
32,coex_SPL,22,33,0.35329485329485344
33,coex_LCL,22,16,0.3461423444976077
34,coex_CLS,31,36,0.36936274509803924
35,coex_EMC,24,37,0.08055555555555571
36,coex_CLT,29,31,0.12261772339636634
37,coex_core,34,40,0.3230723370429254
38,coex_WBL,31,29,-0.02104189840563575
39,co-essential,7,9,-0.566468253968254
40,GOBP,18,17,1.9391522988505745
41,ppi,50,49,0.1798062255205113
42,reactome_copathway,11,13,0.8616310160427809
43,MP,7,17,0.6658834586466162
44,HP,20,15,0.9285714285714284
45,GI_net,16,12,-0.026785714285714413
46,gene_gene_on_CbG_name_mapped,14,13,0.17887667887667869
47,gene_gene_on_GcG_name_mapped,35,32,0.06106076759061829
48,GOMF,4,7,
