,Layer,Colon_cancer nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,45,48,-0.3267868906455864
1,coex_BST,32,45,0.038379329004329055
2,coex_OVR,28,45,-0.13240740740740753
3,coex_LNG,41,47,0.022786243336321288
4,coex_ITI,41,47,-0.10846464122281452
5,coex_VGN,39,47,-0.16904553470609884
6,coex_HRV,28,16,0.16998626373626413
7,coex_MSG,42,48,-0.09424603174603186
8,coex_ADV,25,42,-0.042885572139303774
9,coex_EMS,33,44,-0.03536184210526305
10,coex_SMU,28,42,0.004761904761904745
11,coex_ARG,31,44,0.04185094185094185
12,coex_TST,41,48,0.002983123230108742
13,coex_PIT,37,45,0.22286676920823267
14,coex_LVR,40,44,0.06531385281385282
15,coex_THY,37,35,-0.04754397254397258
16,coex_PNC,34,44,-0.3538961038961037
17,coex_ATC,33,44,0.02183014354066981
18,coex_BRO,35,42,0.07424242424242422
19,coex_SKN,37,47,0.11525890797231475
20,coex_ADS,32,31,0.3626680107526883
21,coex_GEJ,35,43,-0.09257816846556133
22,coex_BRB,30,17,0.12882770129328325
23,coex_UTR,28,43,-0.046716344579102786
24,coex_STM,40,47,-0.04760332599657602
25,coex_HRA,33,42,0.17601731601731618
26,coex_PRS,30,45,-0.1677777777777778
27,coex_ATA,35,40,0.16869616869616877
28,coex_FIB,33,46,-0.28682810493487443
29,coex_BRC,36,45,0.09722222222222232
30,coex_ATT,31,40,0.338709677419355
31,coex_TNV,27,11,1.1139464823675351
32,coex_SPL,34,46,-0.20268542199488504
33,coex_LCL,29,38,-0.09333483280851707
34,coex_CLS,41,46,0.06592568377465402
35,coex_EMC,37,45,-0.09938271604938254
36,coex_CLT,36,48,-0.14063051146384464
37,coex_core,42,48,0.19861111111111107
38,coex_WBL,42,43,-0.1524884372353592
39,co-essential,17,25,-0.6724033816425121
40,GOBP,9,18,1.9352425180598551
41,ppi,50,49,-0.1213419913419913
42,reactome_copathway,35,25,-0.11168981481481466
43,MP,15,20,0.3625448028673839
44,HP,22,30,-0.4844988344988346
45,GI_net,26,35,-0.29595568366060165
46,gene_gene_on_CbG_name_mapped,18,15,-0.0949494949494949
47,gene_gene_on_GcG_name_mapped,33,40,-0.25242320464923207
48,GOMF,4,6,
