,Layer,Infection_of_bone nodes,Sepsis nodes,sAB
0,coex_KDN,30,39,-0.37040133779264206
1,coex_BST,19,19,-0.09454191033138404
2,coex_OVR,18,27,-0.038888888888889195
3,coex_LNG,20,33,-0.39015737874097023
4,coex_ITI,20,34,-0.3823967521467375
5,coex_VGN,16,19,-0.08432017543859671
6,coex_HRV,17,33,-0.07329768270944736
7,coex_MSG,24,39,-0.16765873015873023
8,coex_ADV,34,34,0.1876470588235295
9,coex_EMS,27,24,0.09259259259259234
10,coex_SMU,12,25,-0.2752866502866502
11,coex_ARG,11,20,-0.028739002932551827
12,coex_TST,14,26,-0.04728166570271841
13,coex_PIT,19,32,-0.20884801288936616
14,coex_LVR,27,36,-0.15806878306878303
15,coex_THY,9,21,0.40535714285714297
16,coex_PNC,30,29,0.09984762461384333
17,coex_ATC,16,28,-0.445283882783883
18,coex_BRO,13,32,-0.4840544871794872
19,coex_SKN,15,23,0.22058823529411775
20,coex_ADS,24,23,1.2675377736663584
21,coex_GEJ,20,30,-0.0897601145721445
22,coex_BRB,11,33,-0.29848484848484835
23,coex_UTR,6,20,1.0144736842105258
24,coex_STM,22,34,0.03488548077893272
25,coex_HRA,18,31,-0.08465909090909074
26,coex_PRS,12,26,-0.117142857142857
27,coex_ATA,28,31,0.028912783751493087
28,coex_FIB,6,23,-0.15229885057471226
29,coex_BRC,8,25,-0.29946428571428596
30,coex_ATT,26,22,-0.17949579831932772
31,coex_TNV,31,23,-0.14132104454685113
32,coex_SPL,25,32,-0.2650179211469532
33,coex_LCL,7,19,-0.3641269841269841
34,coex_CLS,17,28,0.26326846528084946
35,coex_EMC,15,28,-0.46382113821138216
36,coex_CLT,16,31,-0.4796296296296294
37,coex_core,41,38,-0.17027027027027009
38,coex_WBL,24,34,-0.08447430696416514
39,co-essential,7,11,-0.5086580086580086
40,GOBP,23,8,1.0687830687830688
41,ppi,47,49,-0.054213706759299374
42,reactome_copathway,16,26,-0.10280701754385979
43,MP,13,8,-1.4636363636363634
44,HP,12,14,0.2889194139194138
45,GI_net,15,22,-0.32226512226512205
46,gene_gene_on_CbG_name_mapped,14,17,-0.00365952832745986
47,gene_gene_on_GcG_name_mapped,29,32,-0.2010934850197852
48,GOMF,6,3,
