,Layer,Dysuria nodes,Facial_paralysis nodes,sAB
0,coex_KDN,45,45,0.08827034388832145
1,coex_BST,40,35,0.09185865504358648
2,coex_OVR,39,37,0.09040011671590631
3,coex_LNG,41,43,-0.012195121951219523
4,coex_ITI,42,41,-0.0019835439318247605
5,coex_VGN,39,42,0.12228172671210635
6,coex_HRV,19,26,0.25670840787119875
7,coex_MSG,41,44,-0.12992043824181554
8,coex_ADV,34,36,0.2728524743230625
9,coex_EMS,37,41,-0.004605696839329765
10,coex_SMU,36,38,0.13752568357831518
11,coex_ARG,39,39,0.2564102564102564
12,coex_TST,42,42,0.1428571428571428
13,coex_PIT,43,41,0.21142938173567782
14,coex_LVR,38,36,0.16362415046625567
15,coex_THY,36,40,0.5922054998141957
16,coex_PNC,37,39,0.15939015939015944
17,coex_ATC,43,44,0.12936502150616014
18,coex_BRO,43,39,0.32950099626219886
19,coex_SKN,38,41,0.11564241725028834
20,coex_ADS,30,31,0.5723025583982202
21,coex_GEJ,37,39,0.2805649779333992
22,coex_BRB,28,30,0.5900383141762453
23,coex_UTR,35,32,0.018496801705756738
24,coex_STM,40,39,0.1416666666666666
25,coex_HRA,37,40,0.35188662688662675
26,coex_PRS,43,41,0.3567782189449802
27,coex_ATA,41,38,0.3497730339835603
28,coex_FIB,36,34,0.02595704948646116
29,coex_BRC,37,42,0.09222825076483598
30,coex_ATT,41,42,0.26403873333053474
31,coex_TNV,17,24,1.157723900370959
32,coex_SPL,40,37,0.1551465426465426
33,coex_LCL,31,22,0.029712831295302333
34,coex_CLS,40,41,0.11515791119449648
35,coex_EMC,38,37,0.22615892749274136
36,coex_CLT,39,39,0.03846153846153855
37,coex_core,45,45,0.2376262626262624
38,coex_WBL,41,32,0.24032913716233928
39,co-essential,14,6,0.2637254901960784
40,GOBP,24,25,0.13815858937810122
41,ppi,48,50,0.19524659863945582
42,reactome_copathway,5,14,1.083333333333333
43,MP,12,16,2.2928571428571427
44,HP,20,34,0.8416289592760182
45,GI_net,19,20,0.12027027027027026
46,gene_gene_on_CbG_name_mapped,5,5,0.4999999999999998
47,gene_gene_on_GcG_name_mapped,29,39,0.18643054038591544
48,GOMF,8,6,
