,Layer,Muscle_spasm nodes,Cerebral_palsy nodes,sAB
0,coex_KDN,42,42,-0.2142857142857142
1,coex_BST,34,32,-0.06004901960784337
2,coex_OVR,38,32,-0.061160714285714235
3,coex_LNG,35,38,-0.05530435678236678
4,coex_ITI,41,39,0.011710444027517086
5,coex_VGN,37,32,0.04637313944379162
6,coex_HRV,16,19,-0.38888888888888884
7,coex_MSG,39,40,-0.08872930866601747
8,coex_ADV,35,28,-0.19642857142857162
9,coex_EMS,35,31,0.21645745146693907
10,coex_SMU,36,32,-0.16880341880341887
11,coex_ARG,39,32,-0.1671124503430843
12,coex_TST,40,39,-0.08869279454722512
13,coex_PIT,40,40,0.07499999999999996
14,coex_LVR,38,32,0.005897556390977554
15,coex_THY,30,27,0.0798212005108554
16,coex_PNC,36,34,-0.041830065359476976
17,coex_ATC,38,34,-0.16713966288269688
18,coex_BRO,34,36,0.042436974789915816
19,coex_SKN,37,36,-0.12328767123287676
20,coex_ADS,27,29,-0.07688690619725103
21,coex_GEJ,36,31,0.1066948284690219
22,coex_BRB,21,28,0.07844490453186115
23,coex_UTR,36,24,-0.2388888888888887
24,coex_STM,40,37,-0.05321165321165311
25,coex_HRA,36,33,-0.13488142292490113
26,coex_PRS,37,36,0.039085318194907126
27,coex_ATA,32,27,-0.33461825172630233
28,coex_FIB,35,30,0.10054945054945086
29,coex_BRC,35,35,0.10420168067226898
30,coex_ATT,36,32,0.13919526143790817
31,coex_TNV,19,18,-0.5216688948306598
32,coex_SPL,36,34,-0.08527077497665747
33,coex_LCL,32,25,-0.12933002481389577
34,coex_CLS,38,35,0.09071480070038107
35,coex_EMC,37,32,-0.03636040932236573
36,coex_CLT,40,36,0.07668128654970752
37,coex_core,40,37,0.0019736842105262387
38,coex_WBL,33,30,-0.12424242424242404
39,co-essential,14,11,0.34207459207459223
40,GOBP,24,26,0.7683363148479425
41,ppi,49,48,0.10313442387264171
42,reactome_copathway,14,23,0.1883753501400558
43,MP,13,16,1.1956521739130435
44,HP,33,32,0.21676587301587324
45,GI_net,26,17,0.08207934336525313
46,gene_gene_on_CbG_name_mapped,9,3,-0.2222222222222221
47,gene_gene_on_GcG_name_mapped,31,30,-0.0665785298783712
48,GOMF,3,6,
