,Layer,Renal_tubular_acidosis nodes,Nocturia nodes,sAB
0,coex_KDN,41,45,0.08153594771241823
1,coex_BST,29,31,0.3703871748336358
2,coex_OVR,31,35,-0.0849798387096774
3,coex_LNG,33,40,0.2397058823529412
4,coex_ITI,30,39,0.057469342251950994
5,coex_VGN,28,40,-0.04146164780493122
6,coex_HRV,18,13,0.5327350427350428
7,coex_MSG,34,43,0.049425266935526846
8,coex_ADV,29,31,0.3753016979033308
9,coex_EMS,28,37,0.013075575575575815
10,coex_SMU,28,33,0.2089010716059898
11,coex_ARG,33,35,0.04123800639658848
12,coex_TST,33,39,-0.029137529137529095
13,coex_PIT,33,41,0.20315964523281593
14,coex_LVR,29,37,0.14052306616961774
15,coex_THY,26,31,0.3818407399052557
16,coex_PNC,26,37,0.050971877584780945
17,coex_ATC,27,33,0.1493265993265993
18,coex_BRO,28,38,-0.07154605263157876
19,coex_SKN,30,39,0.18522853957636554
20,coex_ADS,19,21,1.3916040100250626
21,coex_GEJ,31,34,0.11031294238125366
22,coex_BRB,15,16,0.1307795698924732
23,coex_UTR,24,37,0.12474154482351185
24,coex_STM,29,39,0.2528735632183907
25,coex_HRA,31,39,0.17129859387923907
26,coex_PRS,28,35,0.03293650793650804
27,coex_ATA,29,30,0.6638140161725063
28,coex_FIB,26,36,0.06523986765922252
29,coex_BRC,30,35,0.09835164835164845
30,coex_ATT,29,32,0.09324653759185964
31,coex_TNV,11,11,1.330143540669857
32,coex_SPL,32,36,0.6580882352941178
33,coex_LCL,25,28,0.4075091575091574
34,coex_CLS,28,38,0.11992129492129489
35,coex_EMC,29,38,0.014126224652540431
36,coex_CLT,30,39,0.2949832775919734
37,coex_core,38,42,0.3659453511828352
38,coex_WBL,36,35,0.32840802987861806
39,co-essential,18,16,0.4131944444444444
40,GOBP,37,21,0.7177777777777776
41,ppi,49,48,0.20591600042078695
42,reactome_copathway,15,13,1.4405594405594404
43,MP,21,17,0.8143721198156681
44,HP,36,25,-0.027914389799635897
45,GI_net,18,23,-0.018952062430323657
46,gene_gene_on_CbG_name_mapped,17,12,0.16759634888438146
47,gene_gene_on_GcG_name_mapped,31,38,-0.2832422922664304
48,GOMF,13,2,
