,Layer,Atherosclerosis nodes,Macular_degeneration nodes,sAB
0,coex_KDN,40,38,0.02751634330581698
1,coex_BST,22,19,0.550252525252525
2,coex_OVR,24,33,0.2473338802296965
3,coex_LNG,30,27,0.31265996556377695
4,coex_ITI,33,35,0.5309269162210337
5,coex_VGN,27,34,0.018804243008678778
6,coex_HRV,30,24,0.6449074074074073
7,coex_MSG,40,36,0.09451754385964906
8,coex_ADV,26,22,0.39061895551257253
9,coex_EMS,22,25,0.5063056092843325
10,coex_SMU,26,27,0.2265795206971679
11,coex_ARG,25,26,0.5388415931894195
12,coex_TST,33,34,0.07825178918243014
13,coex_PIT,38,31,0.12066017076351465
14,coex_LVR,43,31,0.07926643823117918
15,coex_THY,25,28,0.432755102040816
16,coex_PNC,27,29,0.010217113665389466
17,coex_ATC,25,29,0.009743935309972862
18,coex_BRO,30,32,0.24939516129032246
19,coex_SKN,25,35,0.06472249916915951
20,coex_ADS,29,27,0.2698215577525924
21,coex_GEJ,29,21,0.33739164696611557
22,coex_BRB,29,29,-0.01724137931034475
23,coex_UTR,14,24,1.0588972431077694
24,coex_STM,33,33,0.36363636363636376
25,coex_HRA,31,34,0.48997070092404793
26,coex_PRS,24,31,0.47598627787307013
27,coex_ATA,26,30,0.21490566037735848
28,coex_FIB,18,27,0.22152454780361763
29,coex_BRC,31,31,0.2068965517241379
30,coex_ATT,27,30,0.4201757944557132
31,coex_TNV,29,28,0.4225566536887291
32,coex_SPL,24,33,0.05312441182006422
33,coex_LCL,17,14,0.18214285714285738
34,coex_CLS,32,33,0.7675363198166312
35,coex_EMC,23,30,0.4867514356029532
36,coex_CLT,26,35,0.5201754385964914
37,coex_core,41,37,0.18560810810810824
38,coex_WBL,32,30,0.06666666666666687
39,co-essential,10,4,0.7457264957264962
40,GOBP,14,27,0.3602941176470589
41,ppi,50,50,0.07000000000000006
42,reactome_copathway,32,10,0.21699507389162553
43,MP,12,18,2.1182514803204464
44,HP,18,30,0.7416666666666667
45,GI_net,18,10,-0.12374727668845331
46,gene_gene_on_CbG_name_mapped,18,8,-0.02083333333333348
47,gene_gene_on_GcG_name_mapped,34,36,-0.18762838468720822
48,GOMF,4,5,
