,Layer,Movement_disorder nodes,Postherpetic_neuralgia nodes,sAB
0,coex_KDN,34,37,0.04458787702366829
1,coex_BST,25,14,0.3535042735042735
2,coex_OVR,22,19,0.31636500754147834
3,coex_LNG,24,26,-0.20833333333333304
4,coex_ITI,33,31,0.04800525415444756
5,coex_VGN,27,25,-0.08425120772946881
6,coex_HRV,20,17,0.39443561208267086
7,coex_MSG,30,23,0.24863275909215243
8,coex_ADV,23,24,0.4359093319194063
9,coex_EMS,26,16,0.25652472527472536
10,coex_SMU,24,17,0.5718670076726347
11,coex_ARG,32,11,0.24022198731501065
12,coex_TST,39,27,0.19735819735819748
13,coex_PIT,35,28,0.10952380952380958
14,coex_LVR,29,33,0.1077459803822427
15,coex_THY,26,14,0.3333333333333335
16,coex_PNC,23,20,0.18182507583417618
17,coex_ATC,21,13,0.16612798965740128
18,coex_BRO,41,26,0.45647279549718567
19,coex_SKN,25,20,0.2914634146341464
20,coex_ADS,21,16,0.1312500000000001
21,coex_GEJ,32,21,0.18619654913728434
22,coex_BRB,36,25,0.4517796610169489
23,coex_UTR,20,12,-0.18196480938416437
24,coex_STM,31,22,0.010346926354229957
25,coex_HRA,26,21,0.33973536091636225
26,coex_PRS,22,20,-0.0772727272727276
27,coex_ATA,26,18,0.5229215229215232
28,coex_FIB,24,14,0.40674603174603163
29,coex_BRC,39,21,0.7390293916609705
30,coex_ATT,23,16,0.27441980023501733
31,coex_TNV,19,16,0.3264254385964911
32,coex_SPL,22,26,0.6934572519678903
33,coex_LCL,22,11,0.08693181818181817
34,coex_CLS,31,27,0.2796296296296301
35,coex_EMC,24,15,0.11923076923076925
36,coex_CLT,29,22,-0.0611899932386748
37,coex_core,34,31,0.5425133689839572
38,coex_WBL,31,22,0.5350246223648536
39,co-essential,7,4,-0.7905844155844157
40,GOBP,18,26,2.2228260869565215
41,ppi,50,49,0.35379097093382783
42,reactome_copathway,11,23,1.118881118881119
43,MP,7,12,1.1485389610389607
44,HP,20,22,0.45584415584415594
45,GI_net,16,18,0.08836206896551735
46,gene_gene_on_CbG_name_mapped,14,15,0.09835796387520546
47,gene_gene_on_GcG_name_mapped,35,25,0.04714285714285693
48,GOMF,4,5,
