,Layer,Neoplasm_of_stomach nodes,Macular_degeneration nodes,sAB
0,coex_KDN,45,38,0.2956587699848292
1,coex_BST,35,19,0.3285115303983228
2,coex_OVR,32,33,0.41010047593865684
3,coex_LNG,45,27,0.4466775009028532
4,coex_ITI,40,35,0.047499999999999876
5,coex_VGN,36,34,0.29738562091503273
6,coex_HRV,29,24,0.799451677222613
7,coex_MSG,44,36,0.07992424242424234
8,coex_ADV,27,22,0.2926372569229714
9,coex_EMS,31,25,0.1659020310633217
10,coex_SMU,29,27,0.12905947819740926
11,coex_ARG,29,26,0.11941344277063237
12,coex_TST,44,34,-0.008604140957082285
13,coex_PIT,40,31,-0.0081269877328487
14,coex_LVR,35,31,0.2595587208490433
15,coex_THY,40,28,0.5706654456654459
16,coex_PNC,35,29,0.27266804385825516
17,coex_ATC,34,29,0.08457268537913665
18,coex_BRO,37,32,0.09037162162162149
19,coex_SKN,35,35,0.11636828644501263
20,coex_ADS,38,27,0.28234003234003247
21,coex_GEJ,33,21,0.257451923076923
22,coex_BRB,32,29,0.36036425946862627
23,coex_UTR,26,24,0.40025641025641034
24,coex_STM,42,33,0.28220779220779235
25,coex_HRA,31,34,0.29017198277160317
26,coex_PRS,30,31,0.1614754098360658
27,coex_ATA,29,30,0.35753945061367665
28,coex_FIB,35,27,0.07760593220338996
29,coex_BRC,35,31,-0.05487786512454429
30,coex_ATT,31,30,0.40925589836660636
31,coex_TNV,24,28,0.40619047619047643
32,coex_SPL,35,33,-0.061051693404634566
33,coex_LCL,26,14,0.4398351648351646
34,coex_CLS,35,33,0.3645833333333335
35,coex_EMC,37,30,0.13737373737373737
36,coex_CLT,34,35,0.03972719522591639
37,coex_core,42,37,0.2990604890604891
38,coex_WBL,39,30,0.009420289855072372
39,co-essential,17,4,0.3382352941176472
40,GOBP,10,27,0.28776683087027877
41,ppi,50,50,0.17999999999999994
42,reactome_copathway,32,10,-0.009868421052631415
43,MP,12,18,1.9176245210727965
44,HP,27,30,0.9943469785575048
45,GI_net,32,10,0.17723214285714284
46,gene_gene_on_CbG_name_mapped,17,8,0.034264705882352864
47,gene_gene_on_GcG_name_mapped,33,36,-0.1332894158981115
48,GOMF,3,5,
